Total number of measurements	17670
	
Comparisons	pVal < 0.001 total	pVal < 0.001 up	pVal < 0.001 down	pVal < 0.01 total	pVal < 0.01 up	pVal < 0.01 down	pVal < 0.05 total	pVal < 0.05 up	pVal < 0.05 down	pVal < 0.1 total	pVal < 0.1 up	pVal < 0.1 down	NAs
Number expected	18	9	9	177	89	89	884	442	442	1767	884	884	0
table_CD_Ileum_vs_nonIBD_Ileum	1152	919	233	2346	1607	739	4384	2469	1915	5934	3046	2888	0
table_CD_Rectum_vs_nonIBD_Rectum	931	699	232	1871	1307	564	3615	2276	1339	5025	3018	2007	0
table_UC_Ileum_vs_nonIBD_Ileum	158	4	154	403	46	357	1123	219	904	1963	455	1508	0
table_UC_Rectum_vs_nonIBD_Rectum	3674	2188	1486	5943	3328	2615	8367	4430	3937	9689	5034	4655	0
table_UC_Ileum_vs_CD_Illeum	1139	108	1031	2547	662	1885	4823	1807	3016	6314	2555	3759	0
table_UC_Rectum_vs_CD_Rectum	1420	718	702	3448	1678	1770	6096	2989	3107	7803	3881	3922	0
table_CD_Rectum_vs_CD_Ileum	167	57	110	453	185	268	1226	598	628	2134	1074	1060	0
table_UC_Rectum_vs_UC_Ileum	1424	1037	387	3301	2240	1061	5817	3630	2187	7383	4452	2931	0
				
Comparisons	adj.pVal < 0.05 total	adj.pVal < 0.05 up	adj.pVal < 0.05 down	NAs
table_CD_Ileum_vs_nonIBD_Ileum	1896	1360	536	0
table_CD_Rectum_vs_nonIBD_Rectum	1339	979	360	0
table_UC_Ileum_vs_nonIBD_Ileum	121	3	118	0
table_UC_Rectum_vs_nonIBD_Rectum	6809	3722	3087	0
table_UC_Ileum_vs_CD_Illeum	2115	462	1653	0
table_UC_Rectum_vs_CD_Rectum	3376	1643	1733	0
table_CD_Rectum_vs_CD_Ileum	109	29	80	0
table_UC_Rectum_vs_UC_Ileum	3202	2183	1019	0
													
Comparisons	|FC| >= 1.1 total	FC >= 1.1 up	FC <= 1.1 down	|FC| >= 1.2 total	FC >= 1.2 up	FC <= 1.2 down	|FC| >= 1.5 total	FC >= 1.5 up	FC <= 1.5 down	|FC| >= 2 total	FC >= 2 up	FC <= 2 down	NAs
table_CD_Ileum_vs_nonIBD_Ileum	9016	4369	4647	5049	2847	2202	1807	1320	487	820	641	179	0
table_CD_Rectum_vs_nonIBD_Rectum	7703	4617	3086	4208	2916	1292	1524	1166	358	741	560	181	0
table_UC_Ileum_vs_nonIBD_Ileum	6598	2702	3896	3112	1043	2069	835	165	670	253	41	212	0
table_UC_Rectum_vs_nonIBD_Rectum	11892	6051	5841	8366	4521	3845	3900	2500	1400	1695	1195	500	0
table_UC_Ileum_vs_CD_Illeum	8858	3646	5212	5333	1872	3461	1873	343	1530	724	30	694	0
table_UC_Rectum_vs_CD_Rectum	10158	5173	4985	6013	3132	2881	1599	876	723	339	199	140	0
table_CD_Rectum_vs_CD_Ileum	8074	4742	3332	4314	2418	1896	1278	662	616	456	229	227	0
table_UC_Rectum_vs_UC_Ileum	12116	6675	5441	8654	5031	3623	4314	2949	1365	2171	1653	518	0
