""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	163.835785347191	-0.190789517732255	-1.14138817193401	0.235098360724249	-0.811530616991564	0.417061017755963	0.671031368032101
"A1BG-AS1"	66.1254717004908	0.146565988535976	1.10693153194593	0.250298926210167	0.585563792682475	0.558168685842319	0.772576337489716
"A1CF"	3824.63729391627	-0.345259748930873	-1.27037968649376	0.207494918894456	-1.66394314988741	0.0961237908430174	0.309499747586779
"A2M"	22593.8417969927	0.648055008361667	1.56705412279512	0.221126126799898	2.93070302338405	0.00338195921901867	0.0383071919231153
"A2M-AS1"	23.6207839150227	0.159664637369284	1.11702744853528	0.22392569694352	0.713025077285149	0.475830239492774	0.714776870852445
"A4GALT"	187.052877417359	0.618911939887991	1.53571652882611	0.295260714765795	2.09615403924942	0.0360685285568046	0.174928797241835
"AAAS"	1002.82574174062	0.0364996743704344	1.02562239852498	0.0674174249116796	0.541398227806104	0.588233128450495	0.794047317014534
"AACS"	1436.15361635565	0.0951880383614981	1.06820462690739	0.0819655807183338	1.16131719591669	0.24551292895515	0.51719282959436
"AADAC"	4677.35121557224	-0.11849411491265	-1.0856011204767	0.564047078102457	-0.210078412800724	0.833606473621895	0.928572503450996
"AADAT"	94.8134788230728	0.417254084436609	1.33538346753348	0.156885049649793	2.65961661336134	0.0078229643600799	0.0677259255020988
"AAED1"	263.312108725945	0.458741758109657	1.37434266671305	0.171742723090116	2.67109866348717	0.00756034209528461	0.0664633058824274
"AAGAB"	3267.96732185368	0.0650658796343232	1.04613270960172	0.0642455346983119	1.01276890199239	0.31117055794321	0.583754513096562
"AAK1"	261.588292904569	-0.112682665211783	-1.08123690876441	0.117176929582329	-0.961645484426281	0.33622771537691	0.605189337955587
"AAMDC"	540.147774336008	-0.0882665681289597	-1.06309208474379	0.109138916136955	-0.808754303718725	0.418656485613238	0.672031385487133
"AAMP"	4738.38992395082	-0.0131729875483603	-1.00917263227384	0.0522083515401035	-0.25231571501049	0.800797042190106	0.913026437959683
"AAR2"	1260.07624732822	0.0408589142561219	1.02872610057183	0.0406533008338344	1.0050577300753	0.314869052379491	0.586055767908769
"AARS"	3144.47171714801	0.275102283707871	1.21007987801442	0.0901357727452972	3.05208770423754	0.00227255689816098	0.0286480781076129
"AARS2"	702.609941954674	-0.170499165338489	-1.1254478167017	0.0718945899725711	-2.37151592913371	0.0177152830554678	0.113416323039897
"AASDH"	500.916636331381	0.00919260791150806	1.00639217355132	0.0716715999234571	0.128260118670791	0.897943125060072	0.956143044274431
"AASDHPPT"	1206.03537695972	0.020615068984694	1.01439185667595	0.0764470328584254	0.269664736666389	0.787418191845625	0.906647325817447
"AASS"	198.416903585383	0.421283405924356	1.3391182902407	0.176216318895192	2.39071732156046	0.0168154940765437	0.11008884043443
"AATF"	1803.65475840832	-0.0340223059992438	-1.02386273059635	0.0568387597163162	-0.598575798786781	0.549455798599528	0.767076239334255
"AATK"	463.653966725194	-0.391819775794416	-1.31204734090729	0.251694264977234	-1.55672905709575	0.119534826805986	0.347220160682649
"AB019441.29"	82.5009918904247	0.0209765555247089	1.01464605796961	0.189546444689942	0.110667100926225	0.911880335345136	0.963000569301252
"ABAT"	1807.16771918946	-0.168788670290148	-1.12411424854843	0.176815015320681	-0.954605976104596	0.339776993891886	0.608779204700317
"ABC7-42389800N19.1"	375.011061717698	-0.299217201720053	-1.23047658245221	0.213130414606494	-1.40391601204597	0.160343860998384	0.409610528240775
"ABCA1"	1525.20328367912	0.640475837169598	1.55884322030644	0.204743698323903	3.12818339422769	0.00175890394743667	0.0240369936204222
"ABCA10"	145.190290886301	-0.250948401494099	-1.18998913515708	0.223335781992106	-1.12363723920858	0.261166951356617	0.533887912441443
"ABCA11P"	17.0647540958544	-0.0896304463646474	-1.06409757356154	0.182108179737179	-0.492182429663528	0.622590384292025	0.813960288004406
"ABCA12"	152.41532647166	2.47068806506138	5.54308090567929	0.621581421214921	3.9748422020598	7.042593447995e-05	0.00232169078779984
"ABCA13"	72.314712710032	0.251451619941094	1.19040428105835	0.258128888096078	0.974132038439268	0.329990983572078	0.599612577121812
"ABCA2"	1110.77211017074	-0.274934213918552	-1.20993891542816	0.151019263217466	-1.82052413752443	0.0686792238603015	0.255901841794274
"ABCA3"	212.073950117885	-0.510580793263197	-1.42462359831882	0.179407889816932	-2.84592162465203	0.00442830926334421	0.0464402281550058
"ABCA4"	106.429753080942	0.43435749458955	1.35130889248583	0.357163943493923	1.21612918241547	0.223935715419087	0.493533733445539
"ABCA5"	2555.92388691679	-0.316689696940179	-1.24546950408959	0.157496982788021	-2.01076675460139	0.0443500992468629	0.198018374433801
"ABCA6"	215.213619464315	-0.160624278757147	-1.11777071189601	0.221463122698154	-0.725286796285594	0.468276104271076	0.70939975672753
"ABCA7"	323.875845779261	0.0460326032740812	1.03242186678459	0.241857683537785	0.19032929862197	0.849051096274558	0.935094093888356
"ABCA8"	1241.69396974953	-0.214447458427598	-1.16025945845246	0.33647674574917	-0.63733218160479	0.523908493016851	0.749487309784123
"ABCA9"	81.1751610739886	0.174476358452043	1.12855470949386	0.212290872163541	0.821874047969582	0.411148584630311	0.666329954179363
"ABCB1"	12212.6608103473	-0.442287583637218	-1.3587571091909	0.267724175056028	-1.65202706682972	0.0985290332461446	0.312963896419334
"ABCB10"	1485.89105026063	-0.0398772517285641	-1.028026355761	0.0709374209298652	-0.562146906468311	0.574015931942535	0.784144347322054
"ABCB11"	56.2431256908849	-1.44635430668945	-2.72518525631314	0.360536950718797	-4.01166733064635	6.02914199936454e-05	0.00206337510683785
"ABCB4"	152.767470623864	-0.321657833320699	-1.24976585812802	0.261523833539041	-1.22993697732211	0.218720705921007	0.487061037924902
"ABCB7"	1029.65779732517	-0.0785161090176219	-1.05593139845979	0.0482855249755901	-1.62607963892521	0.103932714832146	0.322134901084726
"ABCB8"	787.512217414055	0.104751731869296	1.07530932847187	0.0850716992431824	1.23133466007135	0.218197723738686	0.486220724238749
