""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	163.835785347191	0.0659242414017519	1.04675531346414	0.326123644549026	0.202144930315967	0.839803423514005	0.994333033232764
"A1BG-AS1"	66.1254717004908	0.135732356813989	1.09865038131427	0.347576292462645	0.390510974877771	0.696158741473905	0.988841002659976
"A1CF"	3824.63729391627	0.10824419684588	1.0779155822892	0.286956374272897	0.377214819221751	0.70601396823196	0.988841002659976
"A2M"	22593.8417969927	-0.578196945591929	-1.49298217979028	0.306289011673138	-1.88774955534142	0.0590595801957782	0.796972955857677
"A2M-AS1"	23.6207839150227	-0.134443293576982	-1.09766916403895	0.310663013474023	-0.432762471700622	0.665187339719137	0.983339771842814
"A4GALT"	187.052877417359	0.061976488268355	1.04389491483319	0.408824406670891	0.151596840249919	0.879504925718429	0.994333033232764
"AAAS"	1002.82574174062	0.0151598478484616	1.01056340877499	0.0930835260115234	0.162862844780771	0.870626425746948	0.994333033232764
"AACS"	1436.15361635565	-0.0600092649775567	-1.04247245557051	0.113023631389816	-0.530944407285817	0.595457303689339	0.97649137140644
"AADAC"	4677.35121557224	-3.86065038093493	-14.5268538559479	0.784059068174474	-4.92392797640067	8.48240672246876e-07	0.00065167011646097
"AADAT"	94.8134788230728	-0.372149914116849	-1.29428013944176	0.213721176811008	-1.74128703420877	0.0816332777874988	0.85134898438185
"AAED1"	263.312108725945	-0.128965733483266	-1.09350948442381	0.237826759318959	-0.542267547405398	0.587634208457268	0.976139169913492
"AAGAB"	3267.96732185368	-0.0580200154034492	-1.04103604052284	0.0886543390085388	-0.654452066896139	0.512820599020412	0.974713123684041
"AAK1"	261.588292904569	0.0591013233069352	1.04181659526505	0.161655561979026	0.365600308355634	0.714663344977929	0.988841002659976
"AAMDC"	540.147774336008	-0.0759552668583671	-1.05405873995256	0.150742283579805	-0.503874991505985	0.614349225491461	0.978664628820916
"AAMP"	4738.38992395082	0.0304453463820188	1.02132735119279	0.0720713688589176	0.422433302767105	0.672708774132691	0.984492632012974
"AAR2"	1260.07624732822	-0.0873889057726492	-1.06244555021684	0.0561707658034372	-1.55577201988764	0.119762313808052	0.909271259751855
"AARS"	3144.47171714801	-0.13852514674322	-1.10077922447267	0.124503212231336	-1.112623074221	0.265870346218152	0.969044137281234
"AARS2"	702.609941954674	0.0625045314041562	1.04427706242343	0.0994820952356855	0.628299306081915	0.52980788613367	0.974713123684041
"AASDH"	500.916636331381	0.0269525464420908	1.01885768349311	0.0989590305464683	0.272360655649659	0.785344721771811	0.991427832005404
"AASDHPPT"	1206.03537695972	-0.00535174170546498	-1.00371643355064	0.105651335125643	-0.0506547475155005	0.959600636575333	0.996650510720936
"AASS"	198.416903585383	-0.239762119097511	-1.18079794776364	0.244309682473055	-0.981386069804887	0.326402392983486	0.969595066811993
"AATF"	1803.65475840832	-0.00151187561569473	-1.00104850161427	0.0785775670518962	-0.0192405501012295	0.984649209279354	0.999047368459178
"AATK"	463.653966725194	0.250843426564532	1.18990255103676	0.348629553685909	0.719512800657526	0.471825018028389	0.974713123684041
"AB019441.29"	82.5009918904247	0.100456805568226	1.07211287564197	0.261310923071247	0.384434008297605	0.700656798481823	0.988841002659976
"ABAT"	1807.16771918946	-0.0518055817906443	-1.03656140414278	0.244382740589735	-0.211985435901197	0.832118396586626	0.994333033232764
"ABC7-42389800N19.1"	375.011061717698	0.299240941015899	1.23049682989684	0.294761750604824	1.0151959689542	0.310012421751949	0.969595066811993
"ABCA1"	1525.20328367912	-0.578571978204253	-1.4933703351339	0.282808259883736	-2.0458100426137	0.0407750635923378	0.731110169832984
"ABCA10"	145.190290886301	0.324558651330061	1.25228128264785	0.309294561769885	1.0493513027608	0.294016462147016	0.969595066811993
"ABCA11P"	17.0647540958544	-0.164445586148612	-1.12073530744601	0.248847880909711	-0.66082775367606	0.508722782090544	0.974713123684041
"ABCA12"	152.41532647166	1.95097032221122	3.86634485256951	0.845859982631884	2.30649322851378	0.021083088064999	0.600452261917263
"ABCA13"	72.314712710032	0.0399177962343082	1.02805524711017	0.357283456487677	0.111725845430196	0.91104078593761	0.996650510720936
"ABCA2"	1110.77211017074	0.148080209289722	1.10809395267794	0.208505995421798	0.71019640941337	0.477582347155428	0.974713123684041
"ABCA3"	212.073950117885	0.22330371371039	1.16740383582514	0.248286688715144	0.899378516286804	0.368451078483705	0.969595066811993
"ABCA4"	106.429753080942	-1.39113086880708	-2.62284193915964	0.503663318717001	-2.76202537907814	0.0057444013023979	0.319193619538902
"ABCA5"	2555.92388691679	0.225980133021232	1.16957155807484	0.21762252098038	1.03840416884797	0.299081929529647	0.969595066811993
"ABCA6"	215.213619464315	-0.0950872783204559	-1.06813002445817	0.30657225435287	-0.310162700539132	0.75643723341083	0.989786933215213
"ABCA7"	323.875845779261	0.473936869954692	1.38889435862253	0.334793719213081	1.41560860540831	0.156890130384925	0.936676741661195
"ABCA8"	1241.69396974953	-0.407629736117009	-1.32650465298049	0.465101990046381	-0.876430857834773	0.380795849084073	0.969595066811993
"ABCA9"	81.1751610739886	-0.226212137084994	-1.169759655466	0.293489357292341	-0.770767768793971	0.440844594930529	0.970004144513685
"ABCB1"	12212.6608103473	-0.255275027618666	-1.193563255821	0.371297259676514	-0.687521981285481	0.49175385381875	0.974713123684041
"ABCB10"	1485.89105026063	-0.0309102038808729	-1.02165649086676	0.0981135652610368	-0.315045160153283	0.752727365565794	0.989704614971336
"ABCB11"	56.2431256908849	0.979915504961358	1.97234989000607	0.495035073407935	1.97948702546548	0.0477611990052352	0.75951118446978
"ABCB4"	152.767470623864	0.105655638304557	1.0759832640923	0.362615652863369	0.291370870149301	0.770767690757446	0.99003889818978
"ABCB7"	1029.65779732517	-0.024072636434257	-1.01682586688718	0.0666593376514774	-0.36112924733994	0.718002830259027	0.988841002659976
"ABCB8"	787.512217414055	0.0570904204088388	1.04036546902185	0.117526895231072	0.485764728971968	0.627133984370905	0.980762843967739
"ABCB9"	134.196553556562	0.146484100079204	1.10686870346185	0.133015700321226	1.10125421078453	0.270786033723185	0.969595066811993
"ABCC1"	1361.75562089159	0.0555654362597743	1.03926634371638	0.223459492430442	0.248659994952198	0.803623796376639	0.993033431600386
"ABCC10"	602.493630868359	0.0234820208203241	1.01640968030229	0.0907183646176753	0.258845283634544	0.795754616915689	0.993033431600386
"ABCC13"	530.060825784733	0.4062615371271	1.32524724102297	0.28512860824789	1.42483611035585	0.154204581389259	0.936676741661195
"ABCC2"	1259.55311431073	-2.22807815848622	-4.68509453456299	0.539966495129549	-4.12632668616163	3.6860355648095e-05	0.00917355611692732
"ABCC3"	5085.13879646263	0.00389744582457155	1.0027051559337	0.167682663090145	0.0232429862023143	0.981456449827406	0.999047368459178
"ABCC4"	1123.89238240926	-0.586318100255148	-1.50141010737828	0.203857269882483	-2.87612063378039	0.00402595815889807	0.271473339187378
"ABCC5"	820.550516061829	0.0884908400267425	1.06325735890451	0.178025798752651	0.497067507331853	0.619141447003507	0.979774396384121
"ABCC6"	834.495730739613	0.265027842359845	1.20165923994838	0.261276771774359	1.01435669370841	0.310412580710158	0.969595066811993
"ABCC6P1"	240.718384742397	0.321369374766739	1.24951599963132	0.255432402719205	1.25813863607593	0.20834162263121	0.951964723554401
"ABCC6P2"	77.8312149902201	-0.0514203484362653	-1.03628465492931	0.2437205116715	-0.210980799620069	0.832902253815937	0.994333033232764
"ABCC8"	47.034637744735	-0.128562631730339	-1.09320399088417	0.277382194343521	-0.463485524132531	0.643016388600902	0.981309653611575
"ABCC9"	100.61218420309	-0.157469816632406	-1.11532936891651	0.43077803294348	-0.365547462010596	0.714702784762486	0.988841002659976
"ABCD1"	843.769430614025	0.539824468331146	1.45379562429045	0.204252974519059	2.64292096407524	0.008219421927937	0.385244523784209
"ABCD2"	125.576797604095	0.272800841785633	1.20815105151232	0.364360199064388	0.748711968228519	0.454030828516249	0.974183200277987
"ABCD3"	7142.67464898246	0.0659642080846916	1.0467843119122	0.172210788268786	0.383043412946551	0.701687575438949	0.988841002659976
"ABCD4"	1855.10180387055	0.18778961059905	1.13901726128869	0.0971656031259284	1.93267580869818	0.0532761471054587	0.783945673490606
"ABCE1"	2708.0136694902	-0.346114157884791	-1.27113226775494	0.142357470567388	-2.43130308866334	0.0150446235241227	0.516010733014325
"ABCF1"	3024.98548059782	-0.103093102570738	-1.0740737834296	0.0658740861467582	-1.56500239473623	0.117582347804062	0.909271259751855
"ABCF2"	1894.99690578672	-0.131989505204499	-1.09580379506203	0.0874569585417986	-1.50919386410421	0.131249247793388	0.914932091254112
"ABCF3"	1748.04092972949	0.0199123743023612	1.01389789629102	0.0475171816010615	0.419056299877776	0.675174987092408	0.984772614395801
"ABCG1"	1995.0011892208	0.200772308251384	1.14931344459737	0.194531454616687	1.03208146285131	0.302033956973807	0.969595066811993
"ABCG2"	7943.62749459881	-0.0191081111313618	-1.01333283336139	0.477377484715582	-0.0400272567164459	0.96807139598417	0.99704984728864
"ABCG5"	421.605212809508	-3.63225854287299	-12.3999168638115	0.75481384199035	-4.81212497812066	1.49333915697561e-06	0.00089441071799718
"ABCG8"	637.838578717193	-3.13817407897328	-8.80409113316208	0.708493579808268	-4.42936134978461	9.45125514898009e-06	0.00321160920158612
"ABHD10"	1013.66222673862	-0.0335201823433178	-1.02350644168764	0.085683986817494	-0.391207080673259	0.6956441749247	0.988841002659976
"ABHD11"	1117.3616578442	0.0308939319192403	1.0216449678068	0.16057126735083	0.192400125059364	0.847428794447793	0.994333033232764
"ABHD12"	2468.32534976624	0.226472250773099	1.16997057871779	0.143492055553852	1.57829121548896	0.114498723087974	0.909271259751855
"ABHD12B"	86.6764386961515	0.685424551616193	1.60817516042902	0.879093228138691	0.779694951202668	0.435570451322606	0.969595066811993
"ABHD13"	1069.94981209954	-0.0692058917590317	-1.04913904297838	0.0873498596015708	-0.792283949564439	0.428195128292439	0.969595066811993
"ABHD14A"	93.165119519537	-0.197762897534822	-1.14691851622753	0.17518983073401	-1.12884918437466	0.258961460260082	0.965572695251246
"ABHD14B"	2272.7973422147	-0.0680845321942361	-1.04832389842389	0.142080002153019	-0.479198558294712	0.631797379790945	0.980762843967739
"ABHD15"	960.420407536773	0.104844623603192	1.07537856733455	0.126146979702334	0.831130668769006	0.405899816016362	0.969595066811993
"ABHD16A"	29.6929925262278	0.132742988764905	1.09637625547298	0.275499594518163	0.481826439697913	0.629929245426764	0.980762843967739
"ABHD17A"	588.962424713024	0.233894447518801	1.17600520659847	0.212552403231197	1.10040838853461	0.271154225196056	0.969595066811993
"ABHD17B"	1078.33691180315	0.0682593161210649	1.04845091159166	0.129665394374992	0.526426626395467	0.598591819659222	0.97649137140644
"ABHD17C"	4583.13672217417	0.0994510066142664	1.07136569472172	0.180330619734781	0.551492623718216	0.581296021806959	0.975099897753392
"ABHD2"	8781.37144510235	-0.0114838589864782	-1.00799176954148	0.127751830837704	-0.0898919327509862	0.92837309193081	0.996650510720936
"ABHD3"	4654.32565449625	0.205634016150213	1.15319302516723	0.187627855483305	1.09596741710087	0.27309303372798	0.969595066811993
"ABHD4"	1410.01162523769	0.200181168444503	1.14884261345468	0.140726693263219	1.42248186042487	0.154886413793604	0.936676741661195
"ABHD5"	952.802063518276	0.048669259497394	1.03431043675914	0.155519880923823	0.312945581029818	0.754322006900866	0.989704614971336
"ABHD6"	1734.55712582841	0.482183628029683	1.39685631477226	0.235486572848853	2.04760561163363	0.0405986590551289	0.731110169832984
"ABHD8"	92.3427512351469	0.188884304637162	1.13988185743976	0.271281336719343	0.696267229148072	0.486261492008339	0.974713123684041
"ABI1"	4327.97057500524	0.10395729547407	1.07471736019008	0.0552727736223262	1.88080475541902	0.0599984830521978	0.796972955857677
"ABI2"	876.727352593382	-0.266573055244674	-1.20294697853873	0.168391650848458	-1.58305387411738	0.113409185620519	0.909271259751855
"ABI3"	540.621172948812	0.301380952147139	1.23232343276875	0.286196339662576	1.05305662714787	0.292315039711032	0.969595066811993
"ABI3BP"	1477.71821782034	-0.488986675478145	-1.40345876383792	0.417778835628606	-1.17044386593303	0.241822391547807	0.958590864063124
"ABL1"	3078.22854487976	-0.0777178051917995	-1.05534726884587	0.0917931234955284	-0.846662606437893	0.397183207035228	0.969595066811993
"ABL2"	856.853715945673	-0.263733068856768	-1.20058127230228	0.176554744024405	-1.49377503455989	0.13523442889879	0.9195275823603
