""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	163.835785347191	-0.124865276330503	-1.09040590217468	0.226020778510982	-0.552450430235274	0.580639787349626	0.807548606254852
"A1BG-AS1"	66.1254717004908	0.282298345349965	1.21613074966119	0.241163277926213	1.17056936602238	0.241771916846371	0.550104271269042
"A1CF"	3824.63729391627	-0.237015552084993	-1.17855211239811	0.198216597107382	-1.19574019302022	0.23179796128953	0.538009979769603
"A2M"	22593.8417969927	0.069858062769738	1.04961341401626	0.211934411359228	0.329621142322795	0.741686245380987	0.892763645473257
"A2M-AS1"	23.6207839150227	0.0252213437923028	1.01763580970526	0.21533413614455	0.117126546881411	0.906759773149755	0.966313563208261
"A4GALT"	187.052877417359	0.680888428156346	1.60312667506686	0.282769350895385	2.40792867402469	0.0160433150628127	0.124505408019189
"AAAS"	1002.82574174062	0.051659522218896	1.03645646716939	0.0641828141562522	0.80488091552252	0.420888402325364	0.698269194959319
"AACS"	1436.15361635565	0.0351787733839414	1.02468379015616	0.0778202083654843	0.452051904291024	0.651231590829359	0.849027704853309
"AADAC"	4677.35121557224	-3.97914449584758	-15.7703688230183	0.544609507877621	-7.30641760433923	2.7435860775506e-13	5.26947456416512e-11
"AADAT"	94.8134788230728	0.0451041703197595	1.03175767504974	0.145133809341118	0.310776451913751	0.75597057250925	0.898875809325344
"AAED1"	263.312108725945	0.329776024626391	1.25681824098418	0.164517489993465	2.00450435172267	0.0450160612251679	0.225845350976866
"AAGAB"	3267.96732185368	0.00704586423087405	1.00489576621796	0.0610909411972751	0.115334026498651	0.908180369061974	0.966661473485036
"AAK1"	261.588292904569	-0.0535813419048482	-1.03783805487311	0.111364661775684	-0.481134150191866	0.630421158108343	0.838189756491679
"AAMDC"	540.147774336008	-0.164221834987327	-1.12056150329858	0.103980445485221	-1.57935306221273	0.114255097174361	0.373581110396279
"AAMP"	4738.38992395082	0.0172723588336586	1.01204424152046	0.0496847082980582	0.347639332609982	0.728111063396942	0.886435337620502
"AAR2"	1260.07624732822	-0.0465299915165273	-1.03277786927567	0.0387616313157528	-1.20041365487158	0.229978728298821	0.535727581716261
"AARS"	3144.47171714801	0.136577136964652	1.09929389210095	0.0858870905755301	1.59019400994314	0.111791080310153	0.36915499702493
"AARS2"	702.609941954674	-0.107994633934333	-1.07772913645148	0.068759400849323	-1.57061627356219	0.11627180762679	0.376355164089646
"AASDH"	500.916636331381	0.0361451543535988	1.02537039863009	0.0682354122952939	0.529712551558682	0.596311244161393	0.817314589228344
"AASDHPPT"	1206.03537695972	0.0152633272792291	1.01063589552634	0.0729250010694125	0.209301707993133	0.834212718520644	0.935047037000351
"AASS"	198.416903585383	0.181521286826845	1.13407911385424	0.169218881644788	1.07270113750002	0.283405229848289	0.592151963771742
"AATF"	1803.65475840832	-0.0355341816149386	-1.02493625232217	0.0542566994730246	-0.654927077394479	0.512514705726141	0.763204998545046
"AATK"	463.653966725194	-0.140976349229885	-1.10265108664916	0.241231346803864	-0.584403109702434	0.55894913506318	0.794865236460499
"AB019441.29"	82.5009918904247	0.121433361092935	1.08781510296858	0.179876468226808	0.675093091886923	0.499616622326555	0.754616961028213
"ABAT"	1807.16771918946	-0.220594252080792	-1.16521344389227	0.168699064180265	-1.30761989198158	0.191002266502394	0.488424030260102
"ABC7-42389800N19.1"	375.011061717698	2.37392958464519e-05	1.00001645496137	0.203617081771849	0.000116587938692941	0.999906976283952	0.999906977270261
"ABCA1"	1525.20328367912	0.0619038589653456	1.04384236356662	0.195091080921494	0.317307478501573	0.751010303329643	0.897406144146572
"ABCA10"	145.190290886301	0.0736102498359615	1.05234682036197	0.213972555301843	0.344017248997762	0.730833314110776	0.887548086621128
"ABCA11P"	17.0647540958544	-0.25407603251326	-1.19257172125805	0.169593274353864	-1.49814922485144	0.13409448424268	0.407108765549209
"ABCA12"	152.41532647166	4.4216583872726	21.4314623270494	0.573686017799327	7.70745364203608	1.28352906769191e-14	3.23999408944514e-12
"ABCA13"	72.314712710032	0.291369416175402	1.22380136732445	0.247024179808504	1.17951779619823	0.238192054580625	0.545258920124321
"ABCA2"	1110.77211017074	-0.126854004628831	-1.09191004292018	0.143763459418896	-0.882380023001572	0.377571335054413	0.665372044520941
"ABCA3"	212.073950117885	-0.287277079552807	-1.22033486151078	0.171636502133335	-1.67375282053719	0.0941791881100077	0.337208780371526
"ABCA4"	106.429753080942	-0.95677337421753	-1.94096401921454	0.355120621886272	-2.69422082315439	0.00705534041351906	0.0729051842730303
"ABCA5"	2555.92388691679	-0.0907095639189468	-1.0648938027697	0.150180764582306	-0.604002544342048	0.545841950576396	0.786642791508435
"ABCA6"	215.213619464315	-0.255711557077603	-1.19392445783611	0.21199205745448	-1.2062317812662	0.2277281329473	0.532692098117394
"ABCA7"	323.875845779261	0.519969473228773	1.43392490649565	0.231498802023387	2.24610006049294	0.0246975994831935	0.161623850494854
"ABCA8"	1241.69396974953	-0.622077194544608	-1.53908957030182	0.321096964662004	-1.93734996903326	0.0527025779446188	0.246323668320721
"ABCA9"	81.1751610739886	-0.0517357786329515	-1.03651125251218	0.202653863619509	-0.255291351020515	0.798498079569815	0.919539860137561
"ABCB1"	12212.6608103473	-0.697562611255885	-1.62176255911582	0.257265273859216	-2.71145266048465	0.00669891058378041	0.0702908254248218
"ABCB10"	1485.89105026063	-0.070787455609437	-1.05028979914533	0.0677801888463795	-1.0443679313121	0.296315194631719	0.603717459231429
"ABCB11"	56.2431256908849	-0.466438801728093	-1.38169463243905	0.33922386571465	-1.37501764725615	0.16912597368674	0.459050863199379
"ABCB4"	152.767470623864	-0.216002195016142	-1.16151049912689	0.251187969840458	-0.859922531932306	0.389831747152161	0.675193782805203
"ABCB7"	1029.65779732517	-0.102588745451879	-1.07369835961227	0.0459562332438739	-2.23231405645183	0.0255942135000397	0.165356399468264
"ABCB8"	787.512217414055	0.161842152278134	1.11871469385921	0.0810886989076342	1.99586569347332	0.0459485438049201	0.228707258882518
"ABCB9"	134.196553556562	0.0690243596213175	1.04900703970245	0.0923323105164281	0.747564522486811	0.454722870665456	0.722836499141339
"ABCC1"	1361.75562089159	0.362910397933835	1.28601760971504	0.154245107188207	2.35281627112501	0.0186318375682481	0.136254359686571
"ABCC10"	602.493630868359	0.109200857122001	1.07863059201908	0.0627093413908239	1.74138102394391	0.0816168122077974	0.312496006871458
"ABCC13"	530.060825784733	0.186118451138968	1.13769863372964	0.19700391741395	0.94474492478183	0.344789115535338	0.642144005466631
"ABCC2"	1259.55311431073	-2.75590637061054	-6.75476870778632	0.374807924320939	-7.35284979794271	1.94024929499237e-13	3.85215786994553e-11
"ABCC3"	5085.13879646263	-0.0272541027800848	-1.01907067036554	0.115591725883114	-0.235779010754144	0.8136041560244	0.926122537968007
"ABCC4"	1123.89238240926	-0.228242932591911	-1.17140741561249	0.140575199414909	-1.62363584431597	0.104453550717718	0.355214442105867
"ABCC5"	820.550516061829	0.0612107273752497	1.04334097809027	0.12274986771925	0.498662267524795	0.618017330698565	0.830122632376936
"ABCC6"	834.495730739613	-0.0156532655253629	-1.01090909175967	0.180578353529496	-0.0866840638393909	0.930922643944444	0.975327815280417
"ABCC6P1"	240.718384742397	0.177313666974737	1.13077639083978	0.176894239617821	1.00237106283292	0.316164412623157	0.620765433232741
"ABCC6P2"	77.8312149902201	-0.201855150839255	-1.15017640778608	0.168270993255219	-1.19958376030442	0.230301036706853	0.536014135749486
"ABCC8"	47.034637744735	-0.182288702520355	-1.13468252732621	0.192477562843638	-0.947064685500203	0.343605818410899	0.641334616174141
"ABCC9"	100.61218420309	0.904855164397584	1.8723565150888	0.298534320662986	3.03099208957978	0.00243751633787728	0.0344291876021515
"ABCD1"	843.769430614025	0.100201274158809	1.07192299888635	0.141365044902138	0.708812240169947	0.478441000968052	0.740219988364021
"ABCD2"	125.576797604095	0.328804106843225	1.25597183020645	0.252599865373941	1.30167965987026	0.193025915607434	0.490708490894085
"ABCD3"	7142.67464898246	-0.210771014160259	-1.1573065136928	0.118837348535976	-1.77360919573573	0.0761278155707221	0.301103064599024
"ABCD4"	1855.10180387055	0.107145164156664	1.07709474814993	0.0671097753365426	1.59656568092132	0.110362554029776	0.366595852422775
"ABCE1"	2708.0136694902	-0.0886944760699641	-1.06340744800635	0.0981771063321747	-0.90341301942505	0.366306732697243	0.656854066040215
"ABCF1"	3024.98548059782	-0.0715851297949517	-1.05087067083905	0.0454655566298031	-1.57449144146246	0.115373878607984	0.375304940169933
"ABCF2"	1894.99690578672	-0.0833742040003333	-1.05949310872508	0.0602702756402025	-1.3833386875158	0.166561040783988	0.454818975529757
"ABCF3"	1748.04092972949	0.00793820081778189	1.00551750719947	0.0327997288504418	0.242020318337935	0.808764419407926	0.924073806282228
"ABCG1"	1995.0011892208	-0.00357401644475424	-1.00248039051322	0.134201362523206	-0.0266317448463775	0.978753453507777	0.993488956821807
"ABCG2"	7943.62749459881	-0.579271763313565	-1.49409487620781	0.330816826722998	-1.75103476159816	0.0799399224140231	0.308886601586658
"ABCG5"	421.605212809508	-3.30535799650774	-9.88580189777381	0.526751443663424	-6.27498611777844	3.49665490091215e-10	3.67773167256652e-08
"ABCG8"	637.838578717193	-3.04801503538531	-8.2707320849121	0.493028989882418	-6.18222274538508	6.32052556083772e-10	6.30981280564986e-08
"ABHD10"	1013.66222673862	0.0341811540595545	1.02397546929592	0.0590494392685817	0.578856539248142	0.562685977450592	0.796815292639202
"ABHD11"	1117.3616578442	-0.121061347186087	-1.08753463470354	0.110609869931956	-1.09448955378539	0.27374032641363	0.58361384745763
"ABHD12"	2468.32534976624	-0.00857848318124035	-1.00596386488052	0.0990360608722191	-0.0866197938981913	0.930973731779803	0.975327815280417
"ABHD12B"	86.6764386961515	-0.4796727924275	-1.39442737016363	0.604646806883184	-0.793310717871981	0.427596813868618	0.703307800526712
"ABHD13"	1069.94981209954	-0.0282795709322448	-1.01979528366048	0.060313646826408	-0.468875162094539	0.639158871038248	0.843574692152124
"ABHD14A"	93.165119519537	-0.0209233481803351	-1.01460863798466	0.120031668605765	-0.174315232166406	0.861617728968981	0.947817049796545
"ABHD14B"	2272.7973422147	-0.104044740569922	-1.07478250327861	0.0980273269835548	-1.06138506242628	0.288514942580611	0.596593826759762
"ABHD15"	960.420407536773	-0.199067776061677	-1.14795634218366	0.0871391177052983	-2.2844823462055	0.0223431989436725	0.152023228854329
"ABHD16A"	29.6929925262278	0.361915990591378	1.28513150094621	0.191040161005982	1.89444977791893	0.0581653345427341	0.259208497724296
"ABHD17A"	588.962424713024	0.201500520564668	1.14989371654762	0.146719587119174	1.37337164397142	0.169636840370049	0.459625291015033
"ABHD17B"	1078.33691180315	-0.0581260183150805	-1.04111253410084	0.0894217325535965	-0.650021159903624	0.515678553577718	0.765592008243271
"ABHD17C"	4583.13672217417	-0.0061390994141862	-1.00426436609269	0.124314173214811	-0.0493837448733864	0.960613482067566	0.986748065814085
"ABHD2"	8781.37144510235	0.0994659483559674	1.0713767907274	0.0881523648382046	1.12834123665914	0.259175834569338	0.569635544272361
"ABHD3"	4654.32565449625	0.155606396907624	1.11388971254007	0.129355183100789	1.20293901780789	0.228999919985198	0.534323066966651
"ABHD4"	1410.01162523769	0.0307241787620559	1.02152476412465	0.0972050299232038	0.316076017736215	0.751944809394352	0.8976398312389
"ABHD5"	952.802063518276	0.0616983896742945	1.04369370964319	0.107353675352324	0.574720795276051	0.565480141073663	0.798915334834223
"ABHD6"	1734.55712582841	-0.173238913912555	-1.12758712793756	0.162673831517547	-1.06494641637471	0.28690017857949	0.594875164926026
"ABHD8"	92.3427512351469	0.154590249821163	1.11310543226244	0.187586539262305	0.82410097456405	0.409882186459813	0.691476369897281
"ABI1"	4327.97057500524	0.0432121003189616	1.03040542933019	0.0381538255186625	1.1325758225168	0.257392426562457	0.567635483294667
"ABI2"	876.727352593382	-0.106609940116815	-1.07669523192224	0.116200252244383	-0.91746737255442	0.358897782592658	0.65197119547777
"ABI3"	540.621172948812	0.388044328455745	1.30861827963114	0.197816943054227	1.96163342969753	0.0498051773218652	0.238497962947794
"ABI3BP"	1477.71821782034	-0.272670762782445	-1.2080421248193	0.288377566809064	-0.945533890862536	0.344386376932152	0.641901679062788
"ABL1"	3078.22854487976	-0.0858129002597093	-1.06128556438584	0.0632748875544193	-1.35619206254466	0.175038066851552	0.467632694476402
"ABL2"	856.853715945673	-0.00130423433406238	-1.00090443510643	0.121818404270453	-0.0107063816988343	0.991457706536438	0.997791334919035
"ABLIM1"	8472.15269504222	-0.0856707769668616	-1.0611810197901	0.0618508391868262	-1.38511907183806	0.166016061106997	0.454313736992511
"ABLIM2"	424.607287128194	-0.0605296788113117	-1.04284856759202	0.206360491926594	-0.293320093619679	0.769277496277146	0.905605153845248
"ABLIM3"	435.704442487486	0.130218423237612	1.09445938926891	0.190577856305342	0.68328202322193	0.494428651318264	0.75075657547424
"ABO"	1161.72089142934	0.0424951928310242	1.02989352498607	0.236909811115488	0.179372870338024	0.857644932227899	0.94597751345156
"ABR"	5942.93331100059	-0.0664141106354101	-1.04711080112786	0.0497546286604489	-1.33483280698674	0.181931073421504	0.475691338762649
"ABRACL"	2650.00521836964	0.00244541917694892	1.00169647279233	0.0812607243053012	0.0300934947092195	0.975992488852992	0.992989049373214
"ABT1"	982.276363803282	0.0255414268270935	1.01786161216904	0.0564914339224357	0.452129200015751	0.651175908972734	0.849027704853309
"ABTB1"	736.408470585965	0.239114860650472	1.18026830705355	0.150317450595776	1.59073254437693	0.111669779513166	0.369099327347108
"ABTB2"	767.477198806692	-0.00302663774089494	-1.00210010755994	0.146221881922791	-0.0206989384974069	0.983485815795843	0.995137510622534
"AC000068.5"	27.8628240924817	-0.31757746855043	-1.24623614756106	0.122372185223456	-2.59517690209194	0.00945422448435705	0.0888356029123434
"AC000089.3"	34.3376794235413	0.216963245544843	1.16228449649405	0.173407503714002	1.25117564637039	0.210870401368686	0.512175943942911
"AC002055.4"	201.129551704034	0.156512590866387	1.11458959517717	0.0906417624517841	1.72671610340368	0.0842186621395962	0.318439509743046
"AC002117.1"	19.3776326141821	0.224839200985565	1.16864698696668	0.206523320297566	1.08868674327727	0.276292049736157	0.585942561674098
"AC002310.12"	57.0195745167491	-0.116603254239583	-1.08417921508363	0.102963539660509	-1.13247130609579	0.257436341214921	0.567635483294667
"AC002467.7"	103.578911871712	0.0281625087606448	1.01971253948798	0.178937967362914	0.157386993803986	0.874939863153202	0.952903224162076
"AC002511.3"	27.3657557636838	-0.0211910856004119	-1.01479694798744	0.250662321406694	-0.0845403708123721	0.932626806442665	0.975985529750778
"AC003090.1"	23.8266976717276	-0.631901701909756	-1.54960627582938	0.227216103975564	-2.78106036875676	0.00541816607108788	0.0614105160206048
"AC003665.1"	26.2402707548965	-0.121737017032151	-1.08804408849401	0.137860255878991	-0.88304650427319	0.37721114589726	0.665135310648097
"AC003991.3"	41.2762682395014	0.109786424575903	1.07906848024177	0.243154387515115	0.451509124296919	0.651622650395508	0.849027704853309
"AC004057.1"	239.811577373453	-0.184022612639101	-1.1360470709206	0.224270413356759	-0.820538964033414	0.411908926379971	0.692563417165878
"AC004066.3"	16.4120914998158	-0.050891915987601	-1.03590515257753	0.159280352573401	-0.319511572930181	0.749338617013675	0.896521019988253
"AC004257.3"	55.5056899840294	-0.343757059277484	-1.26905716682337	0.122638433414961	-2.8030124790843	0.00506277103583203	0.0589346076941118
"AC004381.6"	139.677202822881	0.0713622514536271	1.0507083370023	0.101654165767875	0.702010103713617	0.482672862461545	0.743140463031076
"AC004453.8"	297.12533834934	-0.0266071775469361	-1.01861380684066	0.13387883936547	-0.198740724621181	0.842465565766149	0.938906751629634
"AC004540.5"	20.0278904793902	0.0855179898251362	1.06106864245101	0.200818033270366	0.425848159313469	0.67021849189074	0.857984550583886
"AC004797.1"	110.678558840093	0.0283680770442957	1.01985784773792	0.129584529387183	0.218915615764096	0.826715781878049	0.931616916838735
"AC004840.9"	58.8430482615733	0.0717802132709786	1.05101278081992	0.126019707416866	0.569595143032143	0.568952323453706	0.801258273326451
"AC004893.11"	120.850711036625	-0.4513172844797	-1.36728811950285	0.123394376757026	-3.65751905671019	0.000254668330554952	0.0058670005226936
