""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	163.835785347191	-0.237078122813303	-1.17860322816485	0.22549281521339	-1.05137772389311	0.293085142657315	0.499259083269522
"A1BG-AS1"	66.1254717004908	-0.345581091961783	-1.27066267986005	0.240109191416464	-1.4392664017696	0.15007505827471	0.332600812707153
"A1CF"	3824.63729391627	0.394342945145548	1.31434402465566	0.199219225463679	1.97944221612007	0.0477662394043872	0.162947941522963
"A2M"	22593.8417969927	-0.316036514808339	-1.24490574371767	0.213326230719408	-1.48147048650584	0.13848124389675	0.316509355140653
"A2M-AS1"	23.6207839150227	-0.416587391918177	-1.33476650797875	0.2154931265809	-1.93318180736397	0.0532138050764921	0.174515207071569
"A4GALT"	187.052877417359	-0.882837310036299	-1.84399827993675	0.283367682217357	-3.11551868980994	0.00183621712049177	0.0204062619616916
"AAAS"	1002.82574174062	-0.056855864966084	-1.04019633865088	0.0644329038013656	-0.8824042005209	0.377558264996274	0.580176932123155
"AACS"	1436.15361635565	-0.0566095934409833	-1.04001878978004	0.0783397279692826	-0.722616671112008	0.469915423091949	0.660941297941155
"AADAC"	4677.35121557224	0.464577521313929	1.37991320056588	0.546288814120214	0.850424737438787	0.395088987696889	0.596777096109131
"AADAT"	94.8134788230728	-0.23093422439335	-1.17359467032648	0.149170654030484	-1.54812101545226	0.121593163229671	0.29239945485415
"AAED1"	263.312108725945	-0.412409382925864	-1.33090664906146	0.164306656047111	-2.50999802958449	0.0120731835281997	0.0688615729319845
"AAGAB"	3267.96732185368	-0.0815162875902567	-1.05812956159479	0.0614188065525136	-1.32722031191797	0.184435815194996	0.377445786574039
"AAK1"	261.588292904569	-0.0232407555243796	-1.01623971792509	0.112152392039094	-0.207224786755136	0.835834310400165	0.91241071630141
"AAMDC"	540.147774336008	0.0788514767369886	1.05617688794849	0.10436058593071	0.755567593203644	0.449908491862452	0.644121708568869
"AAMP"	4738.38992395082	-0.00446529028762588	-1.0030998981512	0.0499136680619804	-0.0894602713245016	0.928716125833516	0.963278583204874
"AAR2"	1260.07624732822	-0.0511894854026644	-1.03611883979061	0.038823869341856	-1.31850550371282	0.187334483874223	0.380832987811496
"AARS"	3144.47171714801	-0.207682092318151	-1.15483128157271	0.0861925952615216	-2.40951199680218	0.0159738708828878	0.0822910491255475
"AARS2"	702.609941954674	0.192061166946258	1.14239468072457	0.0686989254631544	2.79569390134446	0.00517884249777891	0.0405077909641561
"AASDH"	500.916636331381	-0.0594974477676288	-1.04210268878237	0.0685052324284482	-0.868509538008972	0.385115453106208	0.587092576687663
"AASDHPPT"	1206.03537695972	-0.100869040338008	-1.07241926426947	0.0730990157101056	-1.37989601307399	0.167618664345557	0.356095662489213
"AASS"	198.416903585383	-0.102243469113866	-1.07344142500811	0.16838565655257	-0.607198209201063	0.543719380553342	0.72009117622628
"AATF"	1803.65475840832	-0.0420389791760313	-1.02956790023876	0.054341896301067	-0.773601623011558	0.439166412016285	0.63518625688203
"AATK"	463.653966725194	0.438339712529447	1.35504401319551	0.241251190455518	1.81694321052591	0.0692258093769	0.204997494836572
"AB019441.29"	82.5009918904247	-0.0239724458495558	-1.01675525401485	0.181330119690684	-0.132203331087237	0.894823466423071	0.945518463828842
"ABAT"	1807.16771918946	0.109499747229384	1.07885408028403	0.169318182389322	0.646709914341068	0.517819705293446	0.699478189170185
