""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	163.835785347191	-0.427867640545558	-1.3452437840306	0.261544089647085	-1.63592930401487	0.101854384141631	0.80197710854667
"A1BG-AS1"	66.1254717004908	-0.199015103425807	-1.14791443119006	0.278610574407397	-0.714312814038414	0.475033770313729	0.921256740353585
"A1CF"	3824.63729391627	0.0490831962146752	1.03460724272382	0.230849176842246	0.212620191616351	0.83162322090435	0.979867330796047
"A2M"	22593.8417969927	0.332018493553327	1.25877330930727	0.246253989464066	1.34827660772487	0.177569432948966	0.835846531458919
"A2M-AS1"	23.6207839150227	-0.256922754548892	-1.19492722379292	0.250094670996735	-1.02730199538017	0.304278283098134	0.8703711485861
"A4GALT"	187.052877417359	-0.263925370148308	-1.2007413121654	0.3287379322462	-0.80284428494442	0.42206474219335	0.90810546957194
"AAAS"	1002.82574174062	-0.0203561905956496	-1.01420984969406	0.0749075048671383	-0.271751016560422	0.785813471299233	0.972264030704817
"AACS"	1436.15361635565	0.0385784449205148	1.02710127682724	0.091090976370617	0.423515549592451	0.671919155979975	0.954154633865635
"AADAC"	4677.35121557224	0.346083406401279	1.27110517347287	0.628618118122262	0.550546343517843	0.581944699586499	0.935631328362048
"AADAT"	94.8134788230728	0.186319860043259	1.13785747438849	0.174335379908792	1.06874382090851	0.285185119904713	0.865470417544391
"AAED1"	263.312108725945	0.0463323751837928	1.03263641193935	0.191039572793152	0.242527631874256	0.808371348695689	0.976309780244645
"AAGAB"	3267.96732185368	-0.0164504079559334	-1.01146781080733	0.0714104109760226	-0.230364280657297	0.817808714683358	0.977587232224337
"AAK1"	261.588292904569	-0.135923420736163	-1.09879589117293	0.130185867256921	-1.04407201488253	0.296452072362806	0.868810067433325
"AAMDC"	540.147774336008	-0.00941509139197115	-1.00654738507745	0.121252817307646	-0.0776484340820133	0.938107713828822	0.993529201309072
"AAMP"	4738.38992395082	-0.0176382778359861	-1.01230096465087	0.058025139149221	-0.303976484927101	0.761145806290932	0.967168588894058
"AAR2"	1260.07624732822	-0.0103305711465425	-1.00718630470702	0.0451386830879668	-0.228862927312483	0.818975455559633	0.977786569926907
"AARS"	3144.47171714801	0.0674201913897203	1.04784127112184	0.100210034434248	0.672788825693472	0.501081647741126	0.923168878697288
"AARS2"	702.609941954674	0.0215620016077694	1.01505788520035	0.0797898485926443	0.270234898149151	0.786979546241727	0.972264030704817
"AASDH"	500.916636331381	-0.0503048398561207	-1.0354836972798	0.0796091787046685	-0.631897485624616	0.527453866468297	0.926593024860573
"AASDHPPT"	1206.03537695972	-0.0802539713533138	-1.0572041338972	0.0849728570653193	-0.944465963897413	0.344931586824101	0.883981716466027
"AASS"	198.416903585383	0.319039936810491	1.24750010484325	0.195848557607787	1.62901346176575	0.103310169201884	0.80197710854667
"AATF"	1803.65475840832	-0.0760612851752751	-1.05413620167281	0.0631633990521895	-1.20419873402362	0.228512775186681	0.845284821435335
"AATK"	463.653966725194	0.0465199367350308	1.0327706714138	0.279880069111173	0.166213824666995	0.867988680268775	0.984238129844689
"AB019441.29"	82.5009918904247	-0.00299589032484684	-1.00207875054427	0.210527271972334	-0.0142304144103503	0.988646155250591	0.997709552650433
"ABAT"	1807.16771918946	-0.0592889230607641	-1.04195207590306	0.196612747857545	-0.30155177477974	0.762993775582684	0.967720141826083
"ABC7-42389800N19.1"	375.011061717698	-0.197159642952221	-1.14643903913935	0.236971161014099	-0.83199846811946	0.405409809178026	0.903582271142335
"ABCA1"	1525.20328367912	-0.316030489253822	-1.24490054426002	0.227756485082313	-1.38758063964504	0.165264780170746	0.830068187432572
"ABCA10"	145.190290886301	-0.0771433261466255	-1.05492711477222	0.248210987699222	-0.310797385972722	0.755954657035286	0.966016397809161
"ABCA11P"	17.0647540958544	-0.127691514206176	-1.09254409972446	0.201750092829726	-0.632919233965091	0.52678638678505	0.926593024860573
"ABCA12"	152.41532647166	0.0441446268490838	1.03107167617055	0.703433848199451	0.0627559037172847	0.949960880351345	0.994949261403394
"ABCA13"	72.314712710032	-0.104289938269097	-1.07496518678801	0.287336897538943	-0.362953519587445	0.716639605984149	0.961372195063036
"ABCA2"	1110.77211017074	-0.0296278463941456	-1.02074878222211	0.167859588967356	-0.176503746830378	0.859898205348685	0.98244429677565
"ABCA3"	212.073950117885	-0.566763725431087	-1.48119719797053	0.199512902225949	-2.84073721101618	0.00450093849771077	0.298990914490787
"ABCA4"	106.429753080942	0.128077490627237	1.09283643640306	0.397421959268838	0.32227079465581	0.747247556325845	0.964790427677409
"ABCA5"	2555.92388691679	-0.0320745012046601	-1.02248133048922	0.1751267029584	-0.183150260142105	0.854680120779653	0.982320653972711
"ABCA6"	215.213619464315	0.0197420974378358	1.01377823609815	0.246170352066085	0.0801968932170029	0.936080661058667	0.993113952737135
"ABCA7"	323.875845779261	-0.540893297144937	-1.45487307610335	0.269140990715237	-2.00970240804838	0.044462694952809	0.720785155794619
"ABCA8"	1241.69396974953	0.511439754181907	1.42547205230139	0.374300789861127	1.36638705563956	0.171817509494603	0.832332419648646
"ABCA9"	81.1751610739886	0.230407364483558	1.17316616182276	0.235753710529213	0.977322324922676	0.328409604052178	0.880298948906796
"ABCB1"	12212.6608103473	0.231472842289329	1.17403290369317	0.298266136225477	0.776061423595016	0.43771271949639	0.908740279349069
