""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	163.78611945979	0.344673623413115	1.26986367257835	0.219763983965069	1.56838084746362	0.116792278133633	0.250339764242874
"A1CF"	3821.74192842266	-0.315936197254764	-1.24481918241868	0.192469920308365	-1.64148349388095	0.100697090679677	0.22579215487205
"A2M"	22584.9667913982	0.423080777192306	1.3407876608276	0.205876435316574	2.05502284193788	0.0398767985136479	0.121722881220071
"A4GALT"	187.17850447361	0.421982396823369	1.33976725503435	0.274523898921035	1.53714266219405	0.124258377695244	0.260670496975416
"AAAS"	1002.53467897861	0.00450038058742833	1.00312429658831	0.062498174320708	0.0720081928207171	0.94259538785127	0.964475598383835
"AACS"	1435.37517604074	-0.0456544906533014	-1.03215131717057	0.0754454024117716	-0.605132840356857	0.545090735194835	0.690273381540903
"AADAC"	4673.63937496432	-0.088735586628613	-1.06343775094349	0.531093003094823	-0.167081068874052	0.867306261474462	0.918748984579607
"AADAT"	94.7838763070357	0.0942809806444566	1.06753323157179	0.141147561000292	0.667960395321754	0.504158873591995	0.654992913986611
"AAED1"	263.35062883564	0.280079806672143	1.21426205280592	0.159665859559456	1.75416214490016	0.0794027276324137	0.192358945132953
"AAGAB"	3267.14079140869	0.0365426892019367	1.02565297853746	0.0592933160599796	0.616303685308661	0.537694107023529	0.683422492936711
"AAK1"	261.508013838427	-0.0836402109489978	-1.05968847815869	0.108395573155761	-0.771620173351633	0.440339422503002	0.601007225580616
"AAMDC"	539.893162729846	-0.500991142339246	-1.4151854715387	0.101520304203704	-4.93488614192871	8.01975304360878e-07	0.00014287190047189
"AAMP"	4736.58655209681	-0.130051884008267	-1.09433305633078	0.0482833285163591	-2.69351529822978	0.00707029006986361	0.038207198072766
"AAR2"	1259.58539617603	0.0594378091812018	1.04205961090039	0.0376652804498188	1.57805300986383	0.114553432147298	0.246954396454891
"AARS"	3143.16660975664	0.330120447060147	1.25711832385732	0.0834154539187899	3.95754541336597	7.57238939772416e-05	0.00207541718646855
"AARS2"	702.281341939483	-0.0302210418336907	-1.02116857157842	0.0668463762825398	-0.452096935007446	0.651199151620182	0.775002135673806
"AASDH"	500.747024936879	-0.0185486322088954	-1.01293993782203	0.0663821918655621	-0.27942181009118	0.779921135347258	0.860255418020553
