""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	163.78611945979	0.649237945968837	1.56833955553816	0.365286047280084	1.77734121191613	0.0755121168868824	0.183871295040466
"A1CF"	3821.74192842266	-0.600816840866253	-1.51657499449728	0.321120763778787	-1.87099966316766	0.0613451277057269	0.158920546047674
"A2M"	22584.9667913982	0.162044972832502	1.11887197885562	0.343369569430716	0.471925841014862	0.636979722564484	0.766289778508401
"A4GALT"	187.17850447361	1.36822196591256	2.58152213055839	0.458289403296348	2.98549771404557	0.00283117254103345	0.0210377581623247
"AAAS"	1002.53467897861	0.0768363957568891	1.05470270507993	0.104296589271069	0.736710531896589	0.461298400751522	0.624055510917009
"AACS"	1435.37517604074	-0.0490094339854703	-1.03455434659295	0.126088861488202	-0.388689638458318	0.697505748156709	0.810439582808529
"AADAC"	4673.63937496432	-4.40774465318656	-21.2257651068444	0.879343914802915	-5.01253784666772	5.37168056318095e-07	5.0037379991147e-05
"AADAT"	94.7838763070357	-0.0464713920918356	-1.03273592072925	0.239281700600761	-0.194212060408968	0.846009839822847	0.908355601263395
"AAED1"	263.35062883564	0.564607035967601	1.47898460572609	0.266365773905707	2.11966810783833	0.0340340443445993	0.106543256778492
"AAGAB"	3267.14079140869	0.060267202751937	1.04265885467524	0.0990380157913293	0.608525951074368	0.542838699629425	0.69392206898543
"AAK1"	261.508013838427	-0.00108394210728232	-1.0007516137357	0.180806067303121	-0.00599505383558339	0.995216667756118	0.997976932258469
"AAMDC"	539.893162729846	-0.655522142212631	-1.57518594349226	0.168853594630822	-3.88219240251207	0.000103518918506651	0.00247542219220938
"AAMP"	4736.58655209681	-0.0949830094837553	-1.06805282959205	0.0805896225648096	-1.17860099676445	0.238557094552351	0.402929095942178
"AAR2"	1259.58539617603	0.0234919287072491	1.01641666064566	0.0627332093504441	0.37447356751696	0.708052018484541	0.818356772965832
"AARS"	3143.16660975664	0.399696864085591	1.31923068779356	0.139272390318269	2.86989304320973	0.0041061066468281	0.0264611777665815
"AARS2"	702.281341939483	-0.15938188901306	-1.11680854799283	0.111037489552101	-1.4353880806921	0.151176540625449	0.295642576291966
"AASDH"	500.747024936879	0.0685340117291083	1.04865056035522	0.110721462982464	0.618976753766002	0.535931673055032	0.688178953453493
"AASDHPPT"	1205.94156468098	0.210462331185597	1.15705891971643	0.118334163783313	1.77854242981751	0.0753148097752792	0.183516270972351
"AASS"	198.307493442695	0.226083063995778	1.16965500567221	0.27314115065764	0.82771513355435	0.40783184652439	0.575534492946953
"AATF"	1803.44022994608	0.120906039925625	1.08741756704261	0.0880434245788988	1.37325462411196	0.169673203590083	0.319696258271531
"AATK"	463.364810237319	-0.410789745633876	-1.32941334905594	0.390397986948871	-1.05223325776953	0.292692544359459	0.462415934177032
"AB019441.29"	82.6389646508664	-0.303639039358726	-1.23425375938632	0.294058389969671	-1.03258077210463	0.301800130206651	0.472094770684358
"ABAT"	1806.09012870428	-0.473187550776457	-1.38817317020334	0.273453996420134	-1.73041007617769	0.083557034850275	0.197324749078065
"ABC7-42389800N19.1"	374.832696996221	0.111500038358369	1.08035094477825	0.329984082687952	0.337895202247704	0.735442163198538	0.835878325366667
"ABCA1"	1524.78334196492	0.250466251443257	1.18959150610729	0.316788766115399	0.790641203962447	0.429153395219529	0.595637873173893
"ABCA10"	145.099948602435	-0.577761478393047	-1.49253160178281	0.346840187270057	-1.66578585642151	0.095756074180292	0.216175442613262
"ABCA12"	152.426571154023	5.66147450681087	50.6143479391143	0.955528938710125	5.92496394138866	3.1236592394905e-09	7.67558473814115e-07
"ABCA2"	1110.25931584108	-0.625268354515907	-1.54249771745438	0.233288367038721	-2.6802380352387	0.00735698237106777	0.0389493732364256
"ABCA3"	212.001966254572	0.299422474954329	1.23065167273177	0.278256607992307	1.07606599934765	0.281897740474543	0.45052068873358
"ABCA4"	106.46978575846	-1.16285291086287	-2.2389974899792	0.567997202448397	-2.04728633495077	0.0406299788156652	0.119566066091443
"ABCA5"	2554.65554275675	-0.47947646891412	-1.39423762787794	0.243383719078145	-1.9700433156754	0.0488334064676069	0.135799748092943
"ABCA6"	215.109204937642	-0.115758134504208	-1.08354429716379	0.343214508131419	-0.337276343982181	0.735908590807546	0.836004283720769
"ABCA7"	324.066277542911	1.42070170458243	2.67715692072807	0.375229021691538	3.78622553814705	0.000152952860654767	0.00329172157112991
"ABCA8"	1241.05623924975	-1.73837703664317	-3.33659605367181	0.521077338907107	-3.33612096870148	0.000849561880754521	0.0102176843244839
"ABCA9"	81.1327778663704	-0.997221151666845	-1.99615140590168	0.329527543779	-3.02621486577656	0.00247636259648132	0.0194165854372821
"ABCB1"	12203.3451910024	-1.74135979657122	-3.34350157419333	0.4162054719857	-4.1838945275353	2.86557101673041e-05	0.000974704489986677
"ABCB10"	1485.07250238674	-0.149155370631649	-1.10892006200292	0.109304695817517	-1.36458337417325	0.172384033210071	0.322671032480946
"ABCB4"	152.806080704767	0.638637959629357	1.5568586436838	0.40625878020738	1.57199792532079	0.115951032366972	0.245766524880144
