""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	163.78611945979	0.221716716950711	1.16612037158723	0.254699385259729	0.870503541752233	0.384025284526799	0.504770239287472
"A1CF"	3821.74192842266	-0.550571065323681	-1.46466534309587	0.223486871574607	-2.46354992328881	0.0137568735862253	0.036348343038725
"A2M"	22584.9667913982	0.494602705491258	1.40893270479698	0.23939880122959	2.0660199756678	0.0388265934609236	0.0834625354457139
"A4GALT"	187.17850447361	1.10434033876809	2.1500054826277	0.318836942733954	3.46365239014846	0.000532894655117818	0.00267611508976009
"AAAS"	1002.53467897861	0.0575055660999361	1.04066488461347	0.0724315585177129	0.793929707944545	0.427236353738345	0.545753563993805
"AACS"	1435.37517604074	-0.00923251086346914	-1.0064200093536	0.087445588884438	-0.105580063914604	0.915915543019803	0.94202412637066
"AADAC"	4673.63937496432	-4.06037874274674	-16.6838315125673	0.614965222259644	-6.60261523054456	4.03967050768576e-11	2.95248123464295e-09
"AADAT"	94.7838763070357	0.14068701229359	1.10242996874946	0.163639933838225	0.859735206399398	0.389935023018914	0.510512709791523
"AAED1"	263.35062883564	0.611434624968615	1.52777768552653	0.185350812844925	3.29879656627228	0.000971002522351992	0.00433408329112452
"AAGAB"	3267.14079140869	0.0450028182701293	1.03168519467165	0.0687336563188263	0.654742096963098	0.512633816570102	0.624502705680579
"AAK1"	261.508013838427	-0.135985748418517	-1.09884336266117	0.125509397177253	-1.08347065221314	0.278599570452438	0.394722824467405
"AAMDC"	539.893162729846	-0.663745691436365	-1.58419034683326	0.117470087457497	-5.65033793540435	1.60132716694736e-08	5.02689752936866e-07
"AAMP"	4736.58655209681	-0.111340744040142	-1.08023166505395	0.0559639179084794	-1.9895094589736	0.0466449988042355	0.0965975767157751
"AAR2"	1259.58539617603	0.0142529399188126	1.00992834735066	0.0436115110694804	0.326816007271686	0.743807051630515	0.814233806686962
"AARS"	3143.16660975664	0.467992690923593	1.38318362141747	0.0967483585288379	4.83721582505296	1.316704351082e-06	2.07126604984775e-05
"AARS2"	702.281341939483	-0.136705194950538	-1.09939147309045	0.0773669964335753	-1.76697042992884	0.0772331806060117	0.14435767737664
"AASDH"	500.747024936879	0.0189838403882758	1.01324555074295	0.0769192408798461	0.246802232720029	0.805061282474271	0.861326732063907
"AASDHPPT"	1205.94156468098	0.130736576349282	1.094852541926	0.0822355014054051	1.58978268649176	0.111883797795312	0.193275489265949
"AASS"	198.307493442695	0.545707081024392	1.45973560174243	0.190336012475297	2.86707215270268	0.00414288548879451	0.0139058888333253
"AATF"	1803.44022994608	0.0456903361753316	1.03217696255048	0.0612166530756713	0.746371026178984	0.455443316723597	0.571171171853855
"AATK"	463.364810237319	-0.363047796808003	-1.28614009283248	0.272074208493597	-1.33437049699824	0.182082464060039	0.283796946389291
"AB019441.29"	82.6389646508664	-0.305976751218495	-1.23625533871908	0.204331634761351	-1.49745168718422	0.134275767739184	0.223432369155733
"ABAT"	1806.09012870428	-0.531735902684151	-1.44566762884908	0.190165395010283	-2.79617594281755	0.00517112405351731	0.0166213035657936
"ABC7-42389800N19.1"	374.832696996221	-0.0841744345150161	-1.06008094875619	0.229558463153948	-0.366679726630538	0.71385793060838	0.791692438032889
"ABCA1"	1524.78334196492	-0.0649936825630543	-1.04608035908698	0.220145207333705	-0.29523096755195	0.767817447041772	0.833474667167724
"ABCA10"	145.099948602435	-0.653650249351312	-1.57314346938677	0.242108154468308	-2.6998274832452	0.00693754401530592	0.0209700694180573
"ABCA12"	152.426571154023	5.70649337740524	52.2186544208077	0.646202635517716	8.83081105485338	1.03919405679589e-18	4.11405380484863e-16
"ABCA2"	1110.25931584108	-0.653610119298635	-1.5730997113849	0.162086058118286	-4.03248821574553	5.51893832831907e-05	0.000422563161199221
"ABCA3"	212.001966254572	-0.267168457417985	-1.20344353882449	0.193687013831169	-1.37938239706079	0.167776883704743	0.265890820255754
"ABCA4"	106.46978575846	-1.03351045550026	-2.04699908218697	0.404421689906989	-2.55552677142007	0.0106027204685136	0.029474926813224
"ABCA5"	2554.65554275675	-0.510387536244437	-1.42443277485145	0.16922834598466	-3.01596953675066	0.00256158994061752	0.0094579740501764
"ABCA6"	215.109204937642	-0.0958557610912981	-1.06869913861975	0.238980170720444	-0.401103408715149	0.688343991302295	0.772645393718226
"ABCA7"	324.066277542911	0.880290994297323	1.84074654584104	0.261058078657594	3.37201207801701	0.000746211758972836	0.00349835854897397
"ABCA8"	1241.05623924975	-1.22564161979756	-2.33859432519642	0.362551544341369	-3.38059963866413	0.000723278459581869	0.0034144301444057
"ABCA9"	81.1327778663704	-0.765904887832147	-1.70043621223226	0.230029633884338	-3.32959225687093	0.000869732457214917	0.00396020031317157
"ABCB1"	12203.3451910024	-1.50903105115496	-2.84618818037656	0.29046489403787	-5.19522696935011	2.04470222212023e-07	4.47635884326537e-06
"ABCB10"	1485.07250238674	-0.0527446373470507	-1.0372363254383	0.0760651849641141	-0.69341364741221	0.488050000109336	0.602015631085188
"ABCB4"	152.806080704767	0.217351890700427	1.16259764450882	0.283158392872709	0.76759826362673	0.442725894309742	0.560167741983526
"ABCB7"	1029.12620649068	-0.164481857580291	-1.12076348470038	0.0516955518352403	-3.18174101525241	0.00146392661466273	0.00604580737645428
"ABCB8"	787.226169538149	0.299345882990874	1.23058633977972	0.0913269340412443	3.27773932338171	0.00104641982683529	0.00459161803326863
"ABCB9"	134.126933695551	-0.20751510059808	-1.15469761777264	0.104746677151178	-1.98111392401095	0.0475784991386944	0.0980911059531038
"ABCC1"	1361.30218137636	0.994925917993568	1.99297818412875	0.173873788782514	5.72211559292614	1.05205685757377e-08	3.52797984332739e-07
"ABCC10"	602.201183954036	0.182537876919238	1.13487852041289	0.0705699363647532	2.58662379934366	0.00969213464771757	0.0274289720014438
"ABCC13"	530.08713168887	-0.0584909236142015	-1.04137589920541	0.222119461884451	-0.263330926151033	0.792295524970306	0.851953811821096
"ABCC2"	1258.50541040331	-2.78987081763049	-6.91567857631351	0.423415924547457	-6.58896053711791	4.42916481575968e-11	3.18810388657611e-09
"ABCC3"	5083.94867487323	-0.121946297024608	-1.08820193361629	0.130365913477649	-0.935415506795924	0.349574208493381	0.469923752070144
"ABCC4"	1123.63431222714	-0.117876822469225	-1.08513671878182	0.158524709825959	-0.743586426359901	0.45712671750808	0.572392371984287
"ABCC5"	820.253538371978	0.0991794419742009	1.07116404596725	0.138338721264061	0.71693189779373	0.473416118864527	0.587575243930788
"ABCC6"	834.057444399446	-0.571129779571199	-1.48568656158103	0.203616554970801	-2.8049280160599	0.00503278180367329	0.0162608328259338
"ABCC6P1"	240.565548192983	-0.24896130387991	-1.18835123054615	0.199662843140463	-1.24690853823395	0.212431035673865	0.320494108514815
"ABCC6P2"	77.7884716212943	-0.888973079513782	-1.85185748933238	0.191616406906462	-4.63933696422843	3.49528749924281e-06	4.49592395660726e-05
"ABCC9"	100.572162352574	1.40013721217969	2.6392668256201	0.335929947910855	4.16794400406136	3.07359412152161e-05	0.00026293435426126
"ABCD1"	843.374800784807	0.0173108694988997	1.01207125694374	0.159219148146873	0.108723540481018	0.913421769931213	0.940273533048729
"ABCD2"	125.592462501416	0.494005334609588	1.40834943451334	0.284671227064461	1.73535393690394	0.0826781336499468	0.152337267069042
"ABCD3"	7138.58567801637	-0.329604328997485	-1.25666867551673	0.133861569619515	-2.46227748512397	0.0138057809114684	0.0364189524887992
"ABCD4"	1854.14208725989	-0.0294163259741742	-1.02059913633159	0.0754785839597942	-0.389730761110246	0.696735647520906	0.77905824952675
"ABCE1"	2706.88937017464	0.285569947091252	1.2188917005373	0.110645455444612	2.58094601304438	0.00985299888303354	0.0278124262390561
"ABCF1"	3023.74218449439	-0.0199030952476668	-1.01389137517359	0.0511626690972203	-0.389015968065438	0.697264334150518	0.779482535772096
"ABCF2"	1894.78646369045	-0.0223899761573427	-1.01564060246624	0.0680278669295074	-0.329129475433118	0.742057826065005	0.812773450436401
"ABCF3"	1747.43857364745	0.0323880068145679	1.02270354547964	0.0369055567681716	0.877591605459809	0.380165386465555	0.500565141159192
"ABCG1"	1994.42611919678	-0.29523234972778	-1.22708258613092	0.151258835434247	-1.95183540108715	0.0509577497977473	0.103498624785164
"ABCG2"	7938.42409269567	-1.43929071184826	-2.71187505790737	0.373698285249883	-3.85147796673951	0.00011740709497104	0.000786688254596737
"ABCG5"	421.344005767509	-1.90725782868735	-3.75095467114849	0.590661368275891	-3.22902077421203	0.00124214871256657	0.00527506062321178
"ABCG8"	637.373712152835	-2.20214447617186	-4.60162837235501	0.555534485973813	-3.96401039318315	7.37010415749816e-05	0.000536733390151578
"ABHD10"	1013.39734421418	-0.0111872450072359	-1.00778455061561	0.0665964084477784	-0.16798571076109	0.866594520492163	0.904879852447381
"ABHD11"	1116.93562416078	-0.335177356153878	-1.26153248443004	0.124655592487162	-2.68882726772486	0.00717035114639128	0.021539829900042
"ABHD12"	2467.31790763598	-0.247854225800433	-1.18743967757335	0.111556280616709	-2.2217863882718	0.0262977450495408	0.0609733782041092
"ABHD12B"	86.6516438185544	-0.77337190578333	-1.70926004735351	0.683294324485865	-1.13182837624949	0.257706595317025	0.371481176945306
"ABHD13"	1069.60958623749	0.0581529304352806	1.04113195525791	0.0678826737076307	0.856668237402435	0.391628261951412	0.512062176451012
"ABHD14A"	93.1419536134279	-0.126978615212137	-1.09200435905756	0.135933044802448	-0.934126175108306	0.350238811358905	0.470595223860386
"ABHD14B"	2271.88089414385	-0.42603695993334	-1.34353784493791	0.110560749636733	-3.85341960264526	0.00011647952203528	0.000781871802923278
"ABHD15"	959.945510456917	-0.452469446868553	-1.36838049669661	0.0982131608860782	-4.60701440404095	4.08491715330694e-06	5.08340641180197e-05
"ABHD17A"	588.951582263437	0.103960946419514	1.07472007991899	0.165637206775737	0.627642475040472	0.530238177138595	0.639351362160053
"ABHD17B"	1077.91745853724	0.0280794132593477	1.01965380837567	0.100572550010658	0.279195598166418	0.78009472153743	0.843160167704493
"ABHD17C"	4581.47505325348	-0.116372996000095	-1.08400619079948	0.140122671852952	-0.830507971773615	0.40625164256958	0.526402255650664
"ABHD2"	8776.59147851483	0.466599525523845	1.38184856904382	0.0991901285936126	4.70409235414472	2.54997807668949e-06	3.50456003365271e-05
"ABHD3"	4652.9216644948	-0.0564284960590148	-1.03988824738958	0.145893112999522	-0.386779710836656	0.698919298871203	0.780214447208615
"ABHD4"	1409.32931274867	-0.058539033318807	-1.04141062665704	0.109432763669511	-0.534931508223588	0.592697219660482	0.695020306256305
