Ensembl.ID	ENTREZ.ID	GeneSymbol	log2FC_ileum	pvalue_ileum	log2FC_rectum	pvalue_rectum
NA	NA	7SK	-0.190269463426832	0.418864095023538	-0.122956906462404	0.58686180687984
ENSG00000148584	29974	A1CF	-0.344406056295794	0.0965768594577556	-0.234634868068917	0.235997560274053
ENSG00000175899	2	A2M	0.648836815978327	0.00333073887836345	0.0715219282989522	0.735653105949402
ENSG00000128274	53947	A4GALT	0.619683815799077	0.0360975017025708	0.682357941944718	0.0159640894105571
ENSG00000094914	8086	AAAS	0.0374457193617863	0.579284721365371	0.0530051855125077	0.409741147994159
ENSG00000081760	65985	AACS	0.0963316634311959	0.238584928349663	0.0364219797898323	0.638833205553785
ENSG00000114771	13	AADAC	-0.117463042741823	0.835013810709523	-3.97164315611813	3.01782756274912e-13
ENSG00000109576	51166	AADAT	0.418255735790328	0.00776070743601014	0.0464060316491335	0.749520316208397
NA	NA	AAED1	0.459640647825187	0.007524598180335	0.331354818296472	0.0442869221405326
ENSG00000103591	79719	AAGAB	0.0662661857734536	0.301606010719633	0.00846012906819262	0.889694623820288
ENSG00000115977	22848	AAK1	-0.111529270036824	0.341052130166535	-0.0523455374695188	0.638228565829539
ENSG00000087884	28971	AAMDC	-0.0872198892361522	0.424353606902652	-0.162754549097119	0.117653956417547
ENSG00000127837	14	AAMP	-0.0119692249494535	0.818556897236561	0.0187111399681257	0.706300877327501
ENSG00000131043	25980	AAR2	0.0418464389647996	0.302840147671605	-0.0451848692623893	0.243270915319483
NA	NA	AARS	0.275888349699534	0.00220123863561438	0.137872243863445	0.108342161755989
ENSG00000124608	57505	AARS2	-0.169428113389301	0.0182342432326783	-0.106484153116847	0.120809034741671
ENSG00000157426	132949	AASDH	0.0100002091261419	0.889076301239669	0.0375324725971711	0.582442765597388
ENSG00000149313	60496	AASDHPPT	0.021250639330219	0.781321976373558	0.0167017611412243	0.819094298785346
ENSG00000008311	10157	AASS	0.42214817619769	0.016622434144223	0.183460894384179	0.278428621744146
ENSG00000275700	26574	AATF	-0.033229588921382	0.55951157267928	-0.0340836059994872	0.530626630394199
ENSG00000181409	9625	AATK	-0.391151402085571	0.120292987783941	-0.13881015923144	0.56513690346531
NA	NA	AB019441.29	0.0215656538287255	0.909816147998429	0.123935671417701	0.492776014890722
ENSG00000183044	18	ABAT	-0.168150700503412	0.341341628997946	-0.218667960774854	0.194667478716021
NA	NA	ABC7-42389800N19.1	-0.297738212761027	0.162559034389349	0.00144124229405851	0.994354394018608
ENSG00000165029	19	ABCA1	0.64160896679054	0.00172929622699781	0.0633720472468917	0.745355792871384
ENSG00000154263	10349	ABCA10	-0.250124320215171	0.263018748982518	0.0754151543518437	0.724654475622157
ENSG00000144452	26154	ABCA12	2.47093383348959	7.10924120569197e-05	4.42301301898144	1.31876660368084e-14
ENSG00000107331	20	ABCA2	-0.273549700755595	0.0699601509971783	-0.125352372873005	0.383038195943586
ENSG00000167972	21	ABCA3	-0.510168070383972	0.00451383370027659	-0.285859201637286	0.0962593451587396
ENSG00000198691	24	ABCA4	0.435195880957787	0.224676910087952	-0.951289074716909	0.00758823527713373
ENSG00000154265	23461	ABCA5	-0.315737729965789	0.0447418538714845	-0.0887847326772922	0.55393611793012
ENSG00000154262	23460	ABCA6	-0.160353474673975	0.469336381705216	-0.254065922894235	0.23105967577105
ENSG00000064687	10347	ABCA7	0.0466026079680136	0.84742169577852	0.521885280479598	0.0243786239582345
ENSG00000141338	10351	ABCA8	-0.213647068576703	0.525424708182035	-0.620243294193451	0.0533886168015422
ENSG00000154258	10350	ABCA9	0.17514903671116	0.409745547804313	-0.0502926897148088	0.804166177778618
ENSG00000085563	5243	ABCB1	-0.441764643599313	0.0987289331244985	-0.694541468302688	0.00690647595816972
ENSG00000135776	23456	ABCB10	-0.0389490170920768	0.581486582948384	-0.0691242819248587	0.305929487851058
ENSG00000005471	5244	ABCB4	-0.321034641325448	0.220272333237981	-0.214401546206755	0.394026155906038
ENSG00000131269	22	ABCB7	-0.077784209834199	0.10627461901402	-0.101133788188223	0.027352505285053
ENSG00000197150	11194	ABCB8	0.105868038613319	0.213545716833862	0.163173938292552	0.044290087128665
ENSG00000150967	23457	ABCB9	-0.076365091762076	0.425300479762985	0.0706067653547012	0.444612812364357
ENSG00000103222	4363	ABCC1	0.30808686286242	0.056825338467998	0.364274233656862	0.0182444161072737
ENSG00000124574	89845	ABCC10	0.086717774182645	0.185789027191446	0.110539088921532	0.077882308300818
ENSG00000243064	150000	ABCC13	-0.219265081918117	0.287532979126243	0.188107919895794	0.339751749307738
ENSG00000023839	1244	ABCC2	-0.526845585002769	0.175139003216375	-2.74904277459413	2.18361300179345e-13
ENSG00000108846	8714	ABCC3	-0.0296838126404156	0.806827949741549	-0.0256085030052186	0.824560968159425
ENSG00000125257	10257	ABCC4	0.358860749692623	0.0151176836143273	-0.227037759929843	0.106471252280604
ENSG00000114770	10057	ABCC5	-0.0261503814642311	0.839315781734728	0.0624678363186135	0.610896301132065
ENSG00000091262	368	ABCC6	-0.279771272837909	0.138289348887959	-0.0137650190822921	0.939214800758713
ENSG00000256340	653190	ABCC6P1	-0.143179454413246	0.437148099979198	0.179165654049132	0.311141241778966
ENSG00000255277	730013	ABCC6P2	-0.149330411995705	0.397348298469349	-0.200569553566341	0.233624099052516
ENSG00000069431	10060	ABCC9	1.06360776884394	0.000619660544490877	0.906418177829256	0.00240948103395991
ENSG00000101986	215	ABCD1	-0.438759705808895	0.00290576601452914	0.102219939060427	0.469412983488721
ENSG00000173208	225	ABCD2	0.0564284089382176	0.83000453296869	0.330835848894142	0.190699166004564
ENSG00000117528	5825	ABCD3	-0.275687240168199	0.0266783897744765	-0.208885059574415	0.0782188149390046
ENSG00000119688	5826	ABCD4	-0.0793636270163793	0.257719924709781	0.108699539007046	0.104578091720683
ENSG00000164163	6059	ABCE1	0.258181633897485	0.0122658671675534	-0.0873651906627536	0.373560972710348
ENSG00000204574	23	ABCF1	0.0323923926174551	0.496353917813232	-0.0701837681069773	0.122285790932652
ENSG00000033050	10061	ABCF2	0.049540635042078	0.435273794460449	-0.0820875344806889	0.174047983823561
ENSG00000161204	55324	ABCF3	-0.0109212674242232	0.750463245357934	0.00933058377016321	0.775793275374536
ENSG00000160179	9619	ABCG1	-0.203439967499538	0.148324090513549	-0.00178621384362414	0.989374218791567
ENSG00000118777	9429	ABCG2	-0.559256383158254	0.10411897110443	-0.575303530487394	0.0819812563872028
ENSG00000138075	64240	ABCG5	0.327895028814967	0.54429049367649	-3.29806148650365	3.86639468780636e-10
ENSG00000143921	64241	ABCG8	0.0908576270710469	0.858390359559692	-3.0402502517567	7.20718658316681e-10
ENSG00000144827	55347	ABHD10	0.068443707498782	0.270699004236561	0.0355583599509061	0.547392478650746
ENSG00000106077	83451	ABHD11	-0.150558878037245	0.195691309819979	-0.119632530728337	0.27928155556216
ENSG00000100997	26090	ABHD12	-0.234215356061093	0.0239669359619516	-0.0067402839719949	0.945690873822784
ENSG00000131969	145447	ABHD12B	-1.15946923112429	0.0695439193724584	-0.477356876465987	0.430380288875852
ENSG00000139826	84945	ABHD13	0.0418738508827982	0.507280657297346	-0.0267538903255284	0.657179251444488
ENSG00000248487	25864	ABHD14A	0.177447238945778	0.165604640308949	-0.0193259590357153	0.872474061708316
ENSG00000114779	84836	ABHD14B	-0.0352388309584158	0.731936013071323	-0.102285234641076	0.296871055979693
ENSG00000168792	116236	ABHD15	-0.302951212633357	0.000887271246027	-0.197433376409011	0.0233581427300729
ENSG00000129968	81926	ABHD17A	-0.0313161073360416	0.838930273703964	0.202939893438266	0.167375223096716
ENSG00000107362	51104	ABHD17B	-0.125065001708219	0.182193678438913	-0.0565938059174955	0.52615543125515
ENSG00000136379	58489	ABHD17C	-0.103906587796266	0.425798501850752	-0.00445098018285276	0.971402969326115
ENSG00000140526	11057	ABHD2	0.111897986892585	0.225114234909014	0.101073306373387	0.250440815791328
ENSG00000158201	171586	ABHD3	-0.0485137299206558	0.720921054860259	0.157319560890825	0.223567216363139
ENSG00000100439	63874	ABHD4	-0.168555773899131	0.0972975479380562	0.0325062780087645	0.73781531319746
ENSG00000011198	51099	ABHD5	0.0142618057117061	0.899073800102501	0.0632493394891598	0.555482365726486
ENSG00000163686	57406	ABHD6	-0.654306031945357	0.000120336170393289	-0.17125426450102	0.292130688478752
ENSG00000127220	79575	ABHD8	-0.0338290453625628	0.863194489499341	0.155864466331026	0.406886716908545
ENSG00000136754	10006	ABI1	-0.0598112606810584	0.134355602426418	0.044722183754784	0.240646971753412
ENSG00000138443	10152	ABI2	0.160840652436409	0.187155167128523	-0.105148183808463	0.365780730716034
ENSG00000108798	51225	ABI3	0.0871040524519517	0.674088986727512	0.389643209920515	0.0491985846400954
ENSG00000154175	25890	ABI3BP	0.217244675177754	0.47242359582097	-0.270830089549396	0.347749155360506
ENSG00000097007	25	ABL1	-0.00694113885856799	0.916729101068408	-0.0844262505709588	0.181376144830432
ENSG00000143322	27	ABL2	0.26376128932512	0.0389761916738208	0.000123682177097554	0.999189715300189
ENSG00000099204	3983	ABLIM1	-0.154735024161749	0.0166925941186076	-0.0840749399958906	0.172166826221228
ENSG00000163995	84448	ABLIM2	0.335232672357034	0.121340147023131	-0.0585605435584952	0.776685035844119
ENSG00000173210	22885	ABLIM3	0.420898100948076	0.0348701014773402	0.1316312963099	0.489989221613343
ENSG00000175164	28	ABO	-0.274276535858073	0.26936405629356	0.04449659466402	0.851014859750333
ENSG00000159842	29	ABR	-0.0807267276720838	0.121249563232694	-0.0650420500287056	0.18963981330212
ENSG00000146386	58527	ABRACL	-0.0993696578318987	0.244719063244447	0.00430082221969187	0.957832843461308
ENSG00000146109	29777	ABT1	0.00845002857492363	0.887313858915968	0.0269514057442082	0.634934795960957
