Ensembl.ID	ENTREZ.ID	GeneSymbol	log2FC_ileum	pvalue_ileum	log2FC_rectum	pvalue_rectum
NA	NA	7SK	-0.364128678754777	0.128704671482833	0.152627277230264	0.51236442913519
ENSG00000268895	503538	A1BG-AS1	-0.104620683858967	0.677935798799832	0.498087000353662	0.0420125204466985
ENSG00000148584	29974	A1CF	0.0563617070170171	0.818393314250016	-0.505857698371143	0.0328454277745671
ENSG00000175899	2	A2M	0.351116070909599	0.126747932556213	0.424687896620083	0.0557168700959719
ENSG00000245105	144571	A2M-AS1	-0.171961596458054	0.449366061451443	-0.249250422685822	0.260543099471229
ENSG00000128274	53947	A4GALT	-0.177496099738668	0.559232499433762	1.00608286114344	0.000608887958630015
ENSG00000094914	8086	AAAS	0.0119799223654948	0.834102848529764	0.0407917239630867	0.459697574540796
ENSG00000081760	65985	AACS	0.0443120527780509	0.697106777674127	-0.00214729413012048	0.98438159564636
ENSG00000114771	13	AADAC	0.32326491661323	0.613245738271311	-4.09342786590334	3.83075597102723e-11
ENSG00000109576	51166	AADAT	0.219612268375735	0.198244607222631	0.145031868137869	0.363188630170644
NA	NA	AAED1	0.0998287537422532	0.547532865419173	0.549419060884835	0.000631765571310611
ENSG00000103591	79719	AAGAB	-0.0146357960290411	0.881577107013492	0.0525722903851223	0.579036886889384
ENSG00000115977	22848	AAK1	-0.107425513729603	0.419595785551228	-0.137748196030623	0.282835664959571
ENSG00000087884	28971	AAMDC	0.0168240396743466	0.900822267721061	-0.662297354707169	3.95431132124258e-07
ENSG00000127837	14	AAMP	-0.00478136483553465	0.95122140602505	-0.113632588608576	0.131965225239866
ENSG00000131043	25980	AAR2	0.0147772839820561	0.767935041625509	0.00397588015189795	0.93454206523566
NA	NA	AARS	0.0953547786551313	0.280383967782705	0.441238062724464	2.28132999063573e-07
ENSG00000124608	57505	AARS2	0.0540378204549331	0.495472673730097	-0.147365927897051	0.0556191068120298
ENSG00000157426	132949	AASDH	-0.0191582797539616	0.780273706020762	0.0025230101033251	0.969642130836892
ENSG00000149313	60496	AASDHPPT	-0.0394066973639481	0.521399042854655	0.105091831002513	0.0769494375869469
ENSG00000008311	10157	AASS	0.374490156103656	0.0369539935962588	0.506968739638729	0.00364626962671415
ENSG00000275700	26574	AATF	-0.0447114105748984	0.399387492754509	0.0339145825387774	0.509030121781388
ENSG00000181409	9625	AATK	0.0859307148291682	0.756985335739035	-0.384020394240454	0.153863736474888
NA	NA	AB019441.29	0.0554385873888793	0.774618760264771	-0.333210832016875	0.0742771577508923
ENSG00000183044	18	ABAT	-0.0326295387956919	0.87523721960343	-0.520942132614131	0.00947915144005207
NA	NA	ABC7-42389800N19.1	-0.159923000312823	0.487692933451022	-0.101745483131234	0.647919119835675
ENSG00000165029	19	ABCA1	-0.275687760750425	0.1847312306927	-0.122980025893685	0.539705395455381
ENSG00000154263	10349	ABCA10	-0.0265817150989951	0.912678944268918	-0.682642309223008	0.00381949759569931
ENSG00000251595	79963	ABCA11P	-0.0673369112326206	0.724524758082216	-0.572157016656891	0.00184106824218936
ENSG00000144452	26154	ABCA12	0.315207551232249	0.659185766757717	5.65536402340611	2.22880014706773e-18
ENSG00000179869	154664	ABCA13	-0.0295935785681653	0.916195062951573	1.0576994008392	9.25981563462689e-05
ENSG00000107331	20	ABCA2	0.00451132082689412	0.978163316000718	-0.668338369200826	2.65214122275039e-05
ENSG00000167972	21	ABCA3	-0.502062766661768	0.00479512548357519	-0.309061927438593	0.0731524086870617
ENSG00000198691	24	ABCA4	0.183533706438688	0.580587198971614	-1.04982001016564	0.00216907909632759
ENSG00000154265	23461	ABCA5	-0.0123175864630113	0.946501022516992	-0.502705636742138	0.0045817034645643
ENSG00000154262	23460	ABCA6	0.0809977319743655	0.722855004013622	-0.162079627891501	0.463921330833311
ENSG00000064687	10347	ABCA7	-0.475617564866959	0.0495104607129583	0.820570534748691	0.000456139693847314
ENSG00000141338	10351	ABCA8	0.531059888037991	0.153447397031453	-1.27233152737088	0.000395665852986092
ENSG00000154258	10350	ABCA9	0.282135545464271	0.210182673365002	-0.796267662355137	0.000282564963133647
ENSG00000085563	5243	ABCB1	0.208679593588392	0.503195269204914	-1.46893542835555	1.05779467804907e-06
ENSG00000135776	23456	ABCB10	0.12647545119235	0.163484594661003	-0.0545990832283822	0.534276040134989
ENSG00000073734	8647	ABCB11	-2.63687921429207	5.41384988961905e-10	-0.565692488404102	0.154290819053775
ENSG00000005471	5244	ABCB4	-0.355183516697425	0.183579522755439	0.157318279293409	0.543931750663218
ENSG00000131269	22	ABCB7	-0.00523779235885002	0.933986425435459	-0.170106784664948	0.00537824039353711
ENSG00000197150	11194	ABCB8	0.0600000257535179	0.534346024251065	0.286805377364217	0.00209194502248348
ENSG00000150967	23457	ABCB9	0.0375512588017376	0.721619605534939	-0.229078466200066	0.0277229104460672
ENSG00000103222	4363	ABCC1	-0.0963769091791156	0.54270822151022	0.950444802710279	5.07168889237119e-10
ENSG00000124574	89845	ABCC10	-0.00943391472442256	0.880046901361299	0.163564967112219	0.00698174484541185
ENSG00000243064	150000	ABCC13	0.391726907829429	0.102415404965304	-0.0494883824948306	0.831129884865397
ENSG00000023839	1244	ABCC2	-0.135784983897222	0.75324482437506	-2.79522619249	3.06366439118422e-11
ENSG00000108846	8714	ABCC3	-0.268361920973486	0.0832580426183628	-0.108336373183212	0.468672739131569
ENSG00000125257	10257	ABCC4	0.100412937974098	0.486291942850765	-0.177216487992936	0.20244032750619
ENSG00000114770	10057	ABCC5	-0.0545523044537503	0.669389751795797	0.0730211458801305	0.553252393357716
ENSG00000091262	368	ABCC6	0.0936901864676158	0.668260371839507	-0.559336067086827	0.00826007694233814
