GeneSymbol	ENTREZ.ID	log2FC_ileum	pvalue_ileum
A2M	2	0.648836815978327	0.00333073887836345
A4GALT	53947	0.619683815799077	0.0360975017025708
ABCA1	19	0.64160896679054	0.00172929622699781
ABCA12	26154	2.47093383348959	7.10924120569197e-05
ABCC9	10060	1.06360776884394	0.000619660544490877
ABHD6	57406	-0.654306031945357	0.000120336170393289
ACSL1	2180	1.76922954094458	1.2789766471094e-09
ACSL4	2182	1.44221961719163	6.97323583602085e-07
ACTA2	59	0.661412494274349	0.00637163566539652
ACTN1	87	0.641293727055039	1.70103383732061e-06
ADAM12	8038	1.26844605564207	0.00458296004666289
ADAMTS1	9510	1.07136684876266	0.00011790393885767
ADAMTS12	81792	1.71038085309323	2.47048113575841e-06
ADAMTS14	140766	0.689729078322175	0.00773435601518408
ADAMTS2	9509	2.16667380557674	2.37401599800075e-08
ADAMTS4	9507	2.7877661247052	5.27274550919876e-09
ADAMTS5	11096	0.636081070595905	0.0242772647830648
ADAMTS7	11173	0.780270633507785	0.00473302185673486
ADAMTS9	56999	1.3761922067526	1.96914093347281e-07
ADAMTSL4	54507	0.831641163549446	0.00115347175358363
ADM	133	0.840013708274001	0.00225706984183847
AEBP1	165	0.915699114368504	0.00122917642634024
AFF2	2334	-1.85278172207413	7.39808675096701e-05
AGR2	10551	0.633892789994706	0.00327010946313914
AGTRAP	57085	0.730689896275458	1.00079059881753e-05
AICDA	57379	-2.13029802497947	0.000312924963116231
AIF1	199	0.680012602791125	0.00749784761841803
AIFM3	150209	-1.06228787647391	0.000267622835563312
AKR1C1	1645	0.853101857406024	0.0153804076719042
ALDH1A2	8854	1.81579477773059	0.000154057490159297
ALDH1L1	10840	0.877001737620572	0.00368634531494245
ALDH1L2	160428	1.17779520311176	1.07202289927387e-05
ALPL	249	1.75361041378369	2.2978705784382e-05
AMPD1	270	0.729668217833402	0.0263781160117302
ANGPT1	284	0.800968231328037	0.00338983566993741
ANGPT2	285	1.17317435400121	0.000133575434766016
ANGPTL2	23452	1.64247183611504	5.28393614490637e-06
ANK1	286	0.875827092755864	0.0164081898908527
ANTXR1	84168	0.628962517164854	0.0119113386627681
ANXA1	301	0.680429951069988	0.019388685566283
ANXA10	11199	7.39030507259308	1.16897415441344e-22
ANXA5	308	0.747160945302244	7.86471870857726e-06
AOX1	316	1.95204990896026	3.00733769614499e-06
APCDD1	147495	0.919369866370949	9.96679981567899e-05
APLNR	187	0.830055714540495	0.000895685237372367
APOBEC3A	200315	3.32004082877398	1.20224578671612e-09
APOE	348	0.638401849828335	0.030088507264753
APOL1	8542	0.786809121537813	0.000459884542347272
APOL2	23780	0.587720762085755	0.000571045435944266
APOL3	80833	0.859068364508861	0.000495952553711537
APOL4	80832	1.20193141954527	4.51900152220599e-06
APOLD1	81575	0.687892225801507	0.00625513071820404
AQP8	343	-1.47874474017573	0.0264828481120255
AQP9	366	6.72663779738544	4.12165540858688e-21
ARAP3	64411	0.669827527062725	1.32467465129892e-05
ARHGAP23	57636	0.718560206725831	0.00401171529437767
ARHGAP28	79822	0.609163733017424	0.0165048505469689
ARHGAP29	9411	0.718552072144137	0.00198679165197438
ARHGEF15	22899	0.781596302750804	0.000603780781083272
ARNTL2	56938	0.683374141264402	0.00458315192122023
ARSJ	79642	0.641565279596372	0.00427889677787784
ASPG	374569	-1.33384067943222	0.0004203970920197
ASRGL1	80150	0.596010501208359	0.000445716906044323
B3GALT1	8708	-1.75934163313854	0.000149339511643366
B3GNT9	84752	0.713237298900404	0.000531035109563006
B9D1	27077	0.88186095898299	1.00145535738567e-07
BACE2	25825	0.927034256118305	4.91364267914974e-07
BACH2	60468	-1.01536062383094	0.01688980032074
BAMBI	25805	-0.621641468967596	0.00744535548983384
BATF2	116071	0.704906184467882	0.00112045439785796
BCAS4	55653	-1.00481060078679	0.00348266672385084
BCAT1	586	0.988715291040478	0.00329548579530942
BCL2A1	597	0.974220710715887	0.017094797775814
BCL6B	255877	0.810806902103647	0.000571045503050025
BCL7A	605	-0.789629501367103	4.07088800424885e-05
BEND4	389206	-0.720703424510997	0.0219422982288661
BEST2	54831	-1.26039351804824	0.00250249205957559
BEST4	266675	-0.841091496117194	0.0196582330764589
BGN	633	1.16445459034713	0.00196595701028277
BHLHE22	27319	0.954879618005497	0.0120311323845819
BICC1	80114	1.07858577028794	7.44296108310874e-05
BIK	638	-0.631278070651356	0.00675003646942046
BOC	91653	0.655585400764864	0.0100307500304047
BPIFB1	92747	10.1072468199983	1.52796182249178e-22
BST2	684	0.74482820163673	0.00262073527882505
BVES	11149	0.608880423956878	0.0143291402071233
C10orf99	387695	-1.17294329633741	0.000159737806359922
C11orf96	387763	0.691796144186665	0.0198150924152555
C19orf38	255809	1.02677143054168	0.00144440860762274
C1QA	712	0.75054850772723	0.0010933133721899
C1QB	713	0.856717320473824	0.000240366393402357
C1R	715	0.936923603268686	0.00113251667934552
C1S	716	0.818737499356562	0.00341001842463153
C2	717	0.888406693849848	0.000736974118130294
C2CD4A	145741	2.19780690197543	2.95273439825757e-09
C3AR1	719	0.6730754479508	0.00713358163976613
C4A	720	0.869249907492265	0.0153309081812171
C4B	721	0.861419036911126	0.0121582306432547
C4BPA	722	1.37303836365535	0.00289341821100572
C4BPB	725	1.61924125326088	1.43560778827059e-05
C5AR1	728	2.08391891920874	1.00951297795491e-08
C6	729	-1.10249749133241	0.0160036287355771
C6orf223	221416	1.24561207611446	0.00117774128064609
CA1	759	-2.44357968683188	7.98438310761131e-06
CA2	760	-2.90489297940713	5.02390952975436e-10
CA7	766	-1.30786482039394	0.000499907761820544
CA9	768	1.68030426302952	7.39138607813816e-07
CALCRL	10203	0.87223094358555	0.000676479557400446
CALD1	800	0.616703759827258	0.00678995016499506
CALU	813	0.770436136955828	1.52163865851953e-06
CARD16	114769	0.621074058531166	8.36231039350621e-05
CARD6	84674	0.827099770376243	0.000364548611591534
CASP1	834	0.689425681148326	9.86311056250419e-05
CASP5	838	0.619014140330077	0.0468655224477
