GeneSymbol	ENTREZ.ID	log2FC_rectum	pvalue_rectum
A1CF	29974	-0.550571065323681	0.0137568735862253
A2M	2	0.494602705491258	0.0388265934609236
A4GALT	53947	1.10434033876809	0.000532894655117818
AAAS	8086	0.0575055660999361	0.427236353738345
AADAC	13	-4.06037874274674	4.03967050768576e-11
AADAT	51166	0.14068701229359	0.389935023018914
AAK1	22848	-0.135985748418517	0.278599570452438
AAMDC	28971	-0.663745691436365	1.60132716694736e-08
AAMP	14	-0.111340744040142	0.0466449988042355
AARS2	57505	-0.136705194950538	0.0772331806060117
AASDHPPT	60496	0.130736576349282	0.111883797795312
AASS	10157	0.545707081024392	0.00414288548879451
AATK	9625	-0.363047796808003	0.182082464060039
ABAT	18	-0.531735902684151	0.00517112405351731
ABCA10	10349	-0.653650249351312	0.00693754401530592
ABCA12	26154	5.70649337740524	1.03919405679589e-18
ABCA2	20	-0.653610119298635	5.51893832831907e-05
ABCA3	21	-0.267168457417985	0.167776883704743
ABCA4	24	-1.03351045550026	0.0106027204685136
ABCA5	23461	-0.510387536244437	0.00256158994061752
ABCA7	10347	0.880290994297323	0.000746211758972836
ABCA8	10351	-1.22564161979756	0.000723278459581869
ABCA9	10350	-0.765904887832147	0.000869732457214917
ABCB1	5243	-1.50903105115496	2.04470222212023e-07
ABCB10	23456	-0.0527446373470507	0.488050000109336
ABCB4	5244	0.217351890700427	0.442725894309742
ABCB7	22	-0.164481857580291	0.00146392661466273
ABCB8	11194	0.299345882990874	0.00104641982683529
ABCB9	23457	-0.20751510059808	0.0475784991386944
ABCC1	4363	0.994925917993568	1.05205685757377e-08
ABCC10	89845	0.182537876919238	0.00969213464771757
ABCC2	1244	-2.78987081763049	4.42916481575968e-11
ABCC3	8714	-0.121946297024608	0.349574208493381
ABCC4	10257	-0.117876822469225	0.45712671750808
ABCC5	10057	0.0991794419742009	0.473416118864527
ABCC6	368	-0.571129779571199	0.00503278180367329
ABCC6P1	653190	-0.24896130387991	0.212431035673865
ABCC6P2	730013	-0.888973079513782	3.49528749924281e-06
ABCC9	10060	1.40013721217969	3.07359412152161e-05
ABCD2	225	0.494005334609588	0.0826781336499468
ABCD3	5825	-0.329604328997485	0.0138057809114684
ABCE1	6059	0.285569947091252	0.00985299888303354
ABCG1	9619	-0.29523234972778	0.0509577497977473
ABCG2	9429	-1.43929071184826	0.00011740709497104
ABCG5	64240	-1.90725782868735	0.00124214871256657
ABCG8	64241	-2.20214447617186	7.37010415749816e-05
ABHD11	83451	-0.335177356153878	0.00717035114639128
ABHD12	26090	-0.247854225800433	0.0262977450495408
ABHD12B	145447	-0.77337190578333	0.257706595317025
ABHD13	84945	0.0581529304352806	0.391628261951412
ABHD14A	25864	-0.126978615212137	0.350238811358905
ABHD14B	84836	-0.42603695993334	0.00011647952203528
ABHD15	116236	-0.452469446868553	4.08491715330694e-06
ABHD17A	81926	0.103960946419514	0.530238177138595
ABHD17C	58489	-0.116372996000095	0.40625164256958
ABHD2	11057	0.466599525523845	2.54997807668949e-06
ABHD5	51099	0.207321429090418	0.0862064778933918
ABHD6	57406	-0.24593108326674	0.179618182036213
ABHD8	79575	0.199492571029079	0.345904190974757
ABI1	10006	0.0662571422787536	0.122772797165961
ABI3	51225	0.520132512653594	0.0197746302798907
ABI3BP	25890	0.233186739154858	0.473860924811737
ABL1	25	-0.151127966346911	0.033766252879231
ABL2	27	0.288332932812887	0.0355440308364679
ABLIM2	84448	-0.427022680722841	0.0666188261901652
ABLIM3	22885	0.408989521751339	0.0568459562275507
ABO	28	-0.577345209376177	0.0308017968271258
ABR	29	-0.191094628562213	0.000628799564594159
ABRACL	58527	-0.201817495106597	0.027744896950002
ABTB1	80325	0.231558389843448	0.172263495038672
ABTB2	25841	-0.179817213344161	0.275513849881331
ACAA1	30	-0.437188652125044	0.00148587951261026
ACACA	31	0.310440280467485	0.00166901805155055
ACACB	32	-0.412999527462142	0.000937471088750315
