ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP5055	Burn wound healing	83/3788	91/5488	3.29402598731366e-07	0.000181830234499714	0.000171982830495534	43/8038/207/581/596/23476/836/6347/57124/916/5127/1139/1265/1277/1278/2919/9547/3579/7852/1634/1950/2006/2162/2200/2260/2261/2264/2335/60674/3082/3383/3600/3552/3553/3569/3624/3791/3956/23643/440823/406937/4312/4322/4313/79148/4314/4318/100463486/4615/4792/64332/10392/64127/5159/5216/6282/6277/6280/8796/871/6423/6678/6876/7040/7043/7076/7077/7096/7097/7098/7099/7100/10333/51284/51311/3371/7124/7128/7157/7178/7422/7431/7503	83
WP5095	Overview of proinflammatory and profibrotic mediators	53/3788	57/5488	1.16795406204002e-05	0.00322355321123047	0.00304897481458869	6356/6357/6362/6363/6347/6364/6367/6368/6369/6370/56477/6348/6351/6352/6355/1435/1440/6376/2919/3627/6373/10563/9547/58191/2920/2921/6374/6372/4283/10148/3589/3600/3606/3552/3553/3557/11009/90865/3569/3574/3976/4049/4312/4314/4318/5008/6696/7040/7124/8741/10673/7422/6375	53
WP183	Proteasome degradation	50/3788	55/5488	0.000104768689549282	0.0192774388770678	0.0182334280759452	3105/3106/3107/3133/3134/3135/4734/5682/5683/5684/5685/5686/5687/5688/5689/5699/5690/5691/5692/5693/5694/5695/5696/5698/5700/5701/5702/5704/5706/5707/5716/5717/5718/5719/5708/5709/5710/9861/5713/5714/5720/5721/6184/6185/7317/7318/7316/7320/7321/7323	50
WP3624	Lung fibrosis	44/3788	48/5488	0.000172598502587057	0.0238185933570138	0.0225286466534685	23250/655/6356/6347/6348/6351/6352/729230/1051/1215/1440/2920/57105/91039/1832/1906/1950/255520/2006/10144/2247/2252/26585/3082/3162/3479/3553/3569/4204/4313/4318/4502/727897/5073/5155/5328/5806/5265/729238/6498/6696/7040/7076/7124	44
WP5088	Prostaglandin signaling	25/3788	26/5488	0.00080849699211178	0.0892580679291405	0.0844241069657774	196/834/6347/6348/729230/940/1435/2919/3627/4283/3552/3553/3569/3665/3824/4318/114548/5294/5732/5734/9536/29108/7040/7124/7422	25
WP2328	Allograft rejection	60/3788	70/5488	0.0010150897895093	0.0933882606348553	0.0883306202801073	5243/712/713/714/717/718/720/721/729/730/836/840/841/842/6363/940/958/1604/941/942/1289/1459/1493/6373/10563/4283/356/50943/10578/3002/3105/3106/3107/3108/3109/3111/3112/3113/3115/3117/3118/3119/3122/3123/3133/3134/3135/3552/3553/3559/120892/55825/5551/5590/6772/7040/7124/10376/7422/7431	60
WP3945	TYROBP causal network in microglia	52/3788	60/5488	0.00128250684902557	0.101134825808873	0.0956576537017565	10257/55803/54518/51411/714/718/822/951/920/8832/64764/58191/1806/2000/23307/79690/26157/2876/3059/3142/10261/3587/3606/3684/3687/3689/284194/10184/84695/4066/4094/4688/3071/10577/375387/5341/170954/29108/5996/6195/864/64092/375035/10019/6510/9056/6696/6776/10312/113277/7133/7305	52
WP5115	Network map of SARS-CoV-2 signaling pathway	142/3788	180/5488	0.00178898064304857	0.123439664370351	0.116754526177907	59272/60/183/196/207/335/341/8542/55937/9776/637/332/684/11119/715/716/84433/836/838/841/842/6356/6347/6364/6367/6348/6351/6352/6355/891/9133/1234/9332/914/10666/919/916/920/925/926/983/1051/629/3426/5199/1294/1508/1514/1522/2919/3627/10563/58191/2920/2921/6374/6372/4283/3577/3579/54541/23586/64798/1843/1958/1974/84985/2247/2335/2353/2534/11345/2934/51512/3091/3122/3123/3312/3429/10964/2537/64135/8519/10410/3486/8517/3606/8807/3552/3553/90865/3569/3574/3654/3661/10379/3675/3699/3716/3717/3725/3726/23367/3932/116844/81631/64386/4599/4615/4775/4791/55922/22861/114548/4939/5588/5743/5777/6009/6194/6237/6241/6288/6289/6403/5104/5054/8631/4086/6772/29110/7124/8743/9540/7186/7226/8408/64601/57617/51028/54663/7535	142
WP43	Oxidation by cytochrome P450	31/3788	34/5488	0.0021958905835487	0.13468128912432	0.127387336776626	1528/51706/51700/1727/51167/1545/1593/1594/1555/1562/1557/1558/1559/1565/1573/120227/29785/113612/51302/1576/1577/1551/57834/66002/8529/4051/285440/260293/1595/9420/5447	31
WP2806	Complement system	61/3788	73/5488	0.00346523814521614	0.182274463941266	0.172403001744599	133/335/409/715/716/717/718/719/720/722/728/729/730/811/958/1604/966/22918/629/1675/3426/5199/1378/1380/1634/2159/2160/2161/2162/2214/2219/2286/2357/2769/2771/2773/3383/3384/3673/3687/3689/3690/3911/3912/3915/5648/5329/5578/5627/5806/6401/6402/6403/6404/710/729238/6696/7057/7097/11326/7454	61
