ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP2877	Vitamin D receptor pathway	10/123	127/5488	0.00050656037845402	0.0649444112371394	0.0642811925835001	604/634/1946/727936/27035/6279/219855/25928/8600/113835	10
WP3527	Pre-implantation embryo	5/123	32/5488	0.000646213047135715	0.0649444112371394	0.0642811925835001	366/1958/2354/4603/7004	5
WP5094	Orexin receptor pathway	7/123	101/5488	0.0072178116986593	0.483593383810173	0.478654881068985	655/1958/1960/2354/4314/6506/6513	7
WP4917	Proximal tubule transport	4/123	40/5488	0.0117805777637206	0.59197403262696	0.585928736142945	760/762/6513/160728	4
WP5188	Retinol metabolism	2/123	10/5488	0.0199332492166729	0.693513553015503	0.68643132505855	10170/195814	2
WP3624	Lung fibrosis	4/123	48/5488	0.0218826983774221	0.693513553015503	0.68643132505855	655/2006/727897/729238	4
WP5083	Neuroinflammation and glutamatergic signaling	6/123	100/5488	0.0241522132890971	0.693513553015503	0.68643132505855	1610/2918/7850/6506/6513/92745	6
WP2023	Cell differentiation - expanded index	2/123	12/5488	0.0283946270605429	0.71341500489614	0.706129541374027	10637/4208	2
WP3995	Prion disease pathway	3/123	32/5488	0.033972723891708	0.758724166914811	0.750976001816703	1879/4208/5452	3
WP4312	Rett syndrome causing genes	3/123	34/5488	0.039692918118664	0.780697752974633	0.772725191475284	3766/4208/6334	3
WP1533	Vitamin B12 metabolism	3/123	35/5488	0.042724752650353	0.780697752974633	0.772725191475284	3043/6288/6289	3
WP455	GPCRs, class A rhodopsin-like	5/123	88/5488	0.0467571256692382	0.783181854959739	0.775183925568948	1238/136/2852/4886/5540	5
WP383	Striated muscle contraction pathway	2/123	18/5488	0.0603452460186821	0.787030759337345	0.778993524560138	7134/7273	2
WP536	Calcium regulation in cardiac cells	5/123	102/5488	0.0780101071523835	0.787030759337345	0.778993524560138	782/2707/5569/8787/2810	5
WP5053	Development of ureteric collection system	3/123	45/5488	0.0790111915104481	0.787030759337345	0.778993524560138	655/168667/9620	3
WP558	Complement and coagulation cascades	3/123	45/5488	0.0790111915104481	0.787030759337345	0.778993524560138	1191/5329/5104	3
WP176	Folate metabolism	3/123	46/5488	0.0831988965214512	0.787030759337345	0.778993524560138	3043/6288/6289	3
WP706	Sudden infant death syndrome (SIDS) susceptibility pathways	5/123	104/5488	0.0832142068303414	0.787030759337345	0.778993524560138	1958/9734/4208/5452/11076	5
WP4900	Purinergic signaling	2/123	23/5488	0.0928852275551354	0.787030759337345	0.778993524560138	136/286530	2
WP3594	Circadian rhythm genes	6/123	142/5488	0.0983850830315542	0.787030759337345	0.778993524560138	79365/1958/1960/9572/5187/60675	6
WP2884	NRF2 pathway	5/123	110/5488	0.0999011070195302	0.787030759337345	0.778993524560138	1958/9588/6513/160728/11254	5
